Miss Alessandra Corwin, Dugtrio, water buffalo
Aubrey Sipes, Arbok, buffalo
Laveta Weimann, Seaking, crab
Lucie Fahey V, Raichu, mouse
Luciano Ankunding, Alakazam, mallard
Shirley Kling Jr., Omanyte, swan
Eleanore Ondricka, Golduck, seal
Jack Schroeder II, Slowbro, caribou
Alberto Predovic, Grimer, cod
Ms. Rosalind Ortiz, Kingler, rat
Scot Prohaska DVM, Dratini, rat
Jesusa Hudson, Vaporeon, eel
Donte Schroeder, Arcanine, platypus
Faustina Runolfsson, Scyther, giraffe
Karena Hauck I, Gengar, moose
Humberto Cummerata, Seadra, eagle
Gavin Mayer, Geodude, minnow
Rex Predovic, Rapidash, moose
Norma McCullough, Seel, tiger
Tuan Brekke, Growlithe, horse
Tiny Reichert, Jynx, hornet
Mrs. Kelley Hessel, Voltorb, badger
Susy Yost, Dratini, rat
Anthony Lakin, Starmie, ferret
Roosevelt Franecki II, Vulpix, coyote
Sima Osinski, Grimer, sheep
Jayson Kilback, Hitmonlee, cockroach
Miss Maye Feeney, Kingler, alpaca
Ms. Dovie Feest, Magmar, baboon
Marcelino Bogisich, Snorlax, worm
Sharyl Gutmann, Seaking, cod
Emilio Schaefer, Farfetch'd, pug
Claudia Kertzmann Jr., Graveler, snake
Alesha Padberg III, Nidoking, salmon
Margarette Pfeffer, Electabuzz, caribou
Rodolfo Mante, Nidorina, shark
Levi Grady MD, Wartortle, cicada
Wanetta Howe, Beedrill, giraffe
Mr. Debbie Funk, Kabutops, cheetah
Leisa Jacobson, Voltorb, grasshopper
Tomasa Bahringer III, Venusaur, turtle 
Quintin Hintz, Jynx, buffalo
Dr. Anderson Kunde, Magnemite, eagle
Pandora Lakin, Ninetales, tiger
Tierra Prosacco, Nidorino, fox
Laquanda Nikolaus, Ivysaur, worm
Antwan Botsford, Oddish, macaw
Dora Quigley, Clefairy, armadillo
Ms. Hal Hamill, Parasect, snail
Brenton Nolan, Geodude, walrus
