Tanner Yundt, Blastoise, duck
Kerrie Johnson, Weezing, chinchilla
Suzan McLaughlin V, Poliwhirl, wildebeest
Barrett Goodwin, Dragonair, porpoise
Bob Bruen, Hitmonchan, crocodile
Annette Raynor, Machop, dolphin
Lance Bosco, Sandshrew, gnat
Lucrecia Cruickshank, Scyther, porpoise
Mariel Ruecker MD, Rhyhorn, porpoise
Charity Fahey, Sandshrew, elk
Chung Wolff, Wartortle, antelope
Zula Olson DVM, Aerodactyl, beetle
Dr. Grace Jacobson, Clefairy, mink
Tobias Robel, Cloyster, tiger
Milo Haag PhD, Poliwag, locust
Solomon Kozey, Horsea, goose
Ernesto Huel, Jynx, bee
Mel Walsh, Kangaskhan, eel
Dr. Wallace Romaguera, Mew, sardine
Eugene Keebler, Machop, gnu
Jose Cummerata Jr., Chansey, crocodile
Chi Tillman, Kadabra, dog
Tuan Flatley, Machamp, gnu
Dr. Roosevelt Murazik, Grimer, fox
Lonnie Beier, Tauros, giraffe
Jonelle Satterfield, Blastoise, frog
Doretha Schowalter, Nidorina, dolphin
Marlo Bergstrom III, Meowth, horse
Jonas Lindgren, Vaporeon, antelope
Leonel Stokes, Raticate, cod
Ernesto Paucek Jr., Flareon, woodchuck
Marcellus Hoppe, Haunter, sheep
Maricruz Corwin III, Weezing, mole
Stacey Homenick, Venonat, otter
Dorthy Swift, Dratini, fish
Chase Connelly, Kabutops, mouse
Josphine Kohler, Zapdos, yak
Mrs. Tobie Oberbrunner, Bulbasaur, locust
Jayme Rau, Primeape, squirrel
Rosalba Dare, Poliwag, marten
Shizuko Larson, Golduck, water buffalo
Ebonie Lemke, Golbat, rat
Caleb Schoen, Starmie, yellowjacket
Randell Altenwerth, Nidorina, zebra
Gail Buckridge, Ponyta, goose
Garfield Bins, Meowth, crow
Mrs. Luigi Towne, Poliwrath, giraffe
Hoyt Harris DDS, Persian, antelope
Dr. Leisa McDermott, Dratini, grasshopper
Winnifred Hoppe, Kangaskhan, porcupine
