Sam Christiansen, Magmar, bee
Rina Nitzsche, Dratini, mink
Dee Kiehn, Rhydon, impala
Freddie Fahey, Drowzee, badger
Elvis Swaniawski, Hitmonlee, porcupine
Chet Jakubowski, Machoke, chinchilla
Fernanda Rowe, Charizard, ape
Glenda Leannon, Dragonite, water buffalo
Elia Lubowitz, Ivysaur, rabbit
Mr. Jerald Hahn, Arbok, crocodile
Marjorie Carter MD, Koffing, spider
Nancey Green, Hitmonchan, hippopotamus
Matthew Green, Nidoran, cattle
Ronny Hartmann, Gastly, jackal
Xiao Kuhic, Parasect, badger
Claire Hyatt PhD, Exeggcute, yellowjacket
Saul Carter Sr., Doduo, monkey
Mrs. Birdie Jerde, Diglett, lizard
Rodolfo Kovacek, Cloyster, camel
Jesus Corkery, Zubat, hamster
Rickie Breitenberg, Lapras, hamster
Gerry West, Vileplume, porcupine
Danyell Ratke, Mewtwo, frog
Rory Feil, Magneton, butterfly
Mrs. Terica Lakin, Nidoran, goat
Dr. Vern Kuhlman, Victreebel, locust
Rory Balistreri, Arcanine, guinea pig
Burma Nicolas, Poliwrath, camel
Inge Beahan DDS, Pidgey, lion
Horacio Boyle IV, Dratini, ox
Wilda Hyatt, Raticate, zebra
Foster Torphy, Charmeleon, cod
Laronda Kris, Pidgeot, impala
Tomika Spinka, Gyarados, wallaby
Stan Ondricka, Magneton, caribou
Mrs. Kermit Kerluke, Arbok, clam
Dee Orn, Nidoking, goose
Joesph Gibson, Venusaur, bear
Adah Reichel, Goldeen, hamster
Ranae Torphy, Kabutops, camel
Gregoria Hartmann MD, Golbat, gorilla
Willis Collier, Nidoking, monkey
Armida Upton Sr., Psyduck, crab
Dr. Ignacio Hand, Butterfree, gerbil
Kenneth Beatty, Machop, clam
Jasmin Leuschke, Gloom, wombat
Andrea Frami, Kingler, gerbil
Phylis Gutkowski, Weedle, alpaca
Ginette Lakin, Machamp, koala
Kerstin Kuhlman, Staryu, antelope
