Mr. Emory Abbott, Golbat, platypus
Nancee Kirlin, Krabby, cod
Wendolyn Trantow V, Exeggcute, mallard
Janell McGlynn, Muk, impala
Cameron Walsh Sr., Jolteon, serval
Niesha Stroman, Kakuna, crow
Miss Ellis Monahan, Magneton, trout
Vito Macejkovic, Dugtrio, monkey
Casey Johns, Horsea, bear
Gwen Friesen, Bellsprout, elephant
Miss Tam Murazik, Kangaskhan, serval
Dr. Bo Rippin, Nidoran, hornet
Tommie Littel, Blastoise, sea lion
Eldon Walsh, Venomoth, zebra
Tonisha Kreiger, Raticate, impala
Darin Fritsch, Venonat, oyster
Sana Marquardt, Lapras, ape
Luana Quitzon, Metapod, rat
Jamey Gusikowski, Mew, crow
Dexter Tremblay Jr., Nidorina, fish
Miss Cyrstal Carroll, Bulbasaur, serval
Mari Wintheiser, Growlithe, buffalo
Buford Swift, Charmander, fly
Ashley Zulauf, Seaking, fly
Mrs. Patrick Murphy, Jolteon, raccoon
Joie Olson, Kabutops, eel
Elvin Mante, Omanyte, cheetah
Margart Kemmer, Cloyster, cockroach
Ms. Jamie Strosin, Haunter, dog
Jarod Kautzer, Tangela, beaver
Gavin Daugherty, Poliwhirl, grasshopper
Maryalice Bogan, Nidoking, spider
Kyle Hartmann, Growlithe, worm
Ms. Mac Metz, Zapdos, mouse
Andy Tromp II, Snorlax, goat
Rocco Larson PhD, Caterpie, lion
Desmond Lueilwitz, Haunter, impala
Billy Beier, Haunter, wallaby
Newton Bruen, Golbat, armadillo
Shirleen Halvorson, Aerodactyl, coyote
Ms. Blair Herzog, Magikarp, platypus
Shawnee Ebert, Kabuto, gerbil
Maggie Block, Kangaskhan, porpoise
Jerrell Wiza I, Mr. Mime, crab
King Ziemann, Bellsprout, rat
Tandy Will, Rapidash, cattle
Cleora Veum, Zapdos, cockroach
Jay Daugherty Jr., Beedrill, prairie dog
Ollie Shields, Koffing, crab
Andres Pacocha, Venusaur, louse
