Obdulia Senger, Slowpoke, rat
Charles Bergstrom Sr., Sandslash, turtle 
Adam Batz, Zubat, beaver
Jerome Bogan, Electabuzz, fish
Alejandro Larkin, Golem, mink
Becky Raynor, Tentacool, guinea pig
Maranda Kessler, Kadabra, kangaroo
Ms. Rigoberto Berge, Rapidash, hedgehog
Bernardo Rippin, Machop, shark
Ms. Gil Flatley, Lapras, duck
Amos Bode, Eevee, hare
Nyla Jacobson, Aerodactyl, dinosaur
Machelle Kiehn, Spearow, mallard
Raul Nitzsche Sr., Jynx, caribou
Sid Sanford, Diglett, rabbit
Dr. Lesley Kiehn, Seel, tiger
Elisha Hamill V, Poliwrath, herring
Molly Hermann, Ivysaur, giraffe
Jess Kozey, Blastoise, rabbit
Carmine Boyer, Lapras, koala
Donald Jacobs, Pikachu, toad
Juan Turner, Scyther, horse
Ms. Len Torphy, Paras, beaver
Lady O'Hara, Raticate, gorilla
Miss Sherryl Mueller, Victreebel, ape
Gabriel Frami II, Wigglytuff, clam
Titus Adams Jr., Kangaskhan, seal
Miki Veum, Rhyhorn, porpoise
Charissa Funk II, Cloyster, fox
Forrest Osinski, Geodude, raven
Lanny McClure, Sandshrew, caribou
Mr. Roselee Flatley, Beedrill, hippopotamus
Elijah Streich I, Haunter, salmon
Miss Jerry Rippin, Hypno, turtle 
Branden Langworth, Electrode, jellyfish
Pinkie Hilll I, Lickitung, alpaca
Nicola Daniel II, Haunter, lion
Lena Bernhard, Vaporeon, coyote
Domonique Jacobson, Venusaur, swan
Mac West, Chansey, snail
Mr. Amber Hintz, Flareon, camel
Ms. Wilmer Kiehn, Mewtwo, antelope
Mrs. Floria McLaughlin, Kakuna, walrus
Stanton Nikolaus, Machoke, elk
Kellye Altenwerth, Sandshrew, mink
Mrs. Boyd Paucek, Pidgey, lion
Carin Konopelski, Ivysaur, gorilla
Digna Reichel DVM, Magnemite, sardine
Shara Rodriguez, Caterpie, spider
Luther Fahey, Arcanine, cheetah
