Numbers Toy, Graveler, ape
Kraig Kautzer IV, Lapras, impala
Katina Mayert, Diglett, pig
Horacio Shields, Ekans, salmon
Miss Arnold Shanahan, Venusaur, sea lion
Chau Parisian, Blastoise, elephant
Dalton Moore III, Gengar, termite
Karissa Kutch, Moltres, grasshopper
Peter Schuster MD, Charizard, mink
Mrs. Barb Swift, Jynx, locust
Racquel Kris, Sandshrew, hound
Lorrine Ankunding, Aerodactyl, gnat
Nellie Kessler, Meowth, squirrel
Shirly Herman, Tentacruel, badger
Mohamed Thiel, Venonat, platypus
Dr. Osvaldo Kunze, Nidorino, jackal
Shaquana Skiles, Nidoqueen, tortoise
Thanh Hintz, Raichu, panda
Mrs. Kelsi Streich, Drowzee, caribou
Gisele Ankunding, Diglett, whale
Ms. Ardith Schimmel, Mr. Mime, marten
Casie Runte, Arcanine, llama
Milo Green, Sandshrew, seal
Irina Homenick, Pidgeot, tiger
Dia Larson, Venomoth, hyena
Wallace Olson, Chansey, herring
Ms. Charles Dietrich, Psyduck, minnow
Ismael Kreiger V, Grimer, water buffalo
Dr. Temika Rutherford, Doduo, frog
Benton Keeling, Omastar, guinea pig
Silas Romaguera, Magneton, goat
Emmitt DuBuque, Zubat, oyster
Mose Hilll, Kakuna, water buffalo
Waylon Deckow, Caterpie, chimpanzee
Alanna Gorczany, Eevee, panda
Heidi McDermott, Nidoqueen, whale
Markus Hodkiewicz, Bulbasaur, locust
Miss Elenor Anderson, Parasect, rat
Maxwell Rodriguez, Flareon, clam
Kerry Haag, Mr. Mime, shark
Matilde Beer, Vulpix, baboon
Kermit Crona, Slowpoke, hamster
Douglass Kilback Sr., Primeape, cheetah
Glennie Conroy, Arbok, worm
Zane Champlin, Flareon, sea lion
Santos Fisher DVM, Grimer, pug
Romeo Zemlak, Beedrill, lizard
Dung Kilback, Venonat, crow
Darrin Fritsch, Golbat, salmon
Dr. Hipolito Powlowski, Psyduck, grasshopper
