Sherley Romaguera, Golem, gerbil
Brant Ullrich, Tentacruel, shark
Bobby Wilkinson, Nidoran, moose
Jesse Steuber, Porygon, porcupine
Mrs. James Wintheiser, Mew, seal
Brenda Yost, Pidgey, lion
Susy Sporer, Charmander, tiger
Winford Yost, Golbat, pig
Phyllis Stiedemann IV, Kadabra, gnu
Myrta Kihn I, Nidoking, squirrel
Miss Dorthy Parisian, Fearow, goose
Mrs. Laraine Morar, Tentacool, sea lion
Mrs. Willie Howe, Poliwhirl, pig
Vivienne Gerlach, Jolteon, crow
Dr. Dudley Morissette, Exeggcute, bear
Winfred Rutherford, Charmeleon, jackal
Adalberto Herzog, Charmeleon, duck
Hans Kreiger, Farfetch'd, wolf
Delpha Wisoky, Kangaskhan, weasel
Nickolas DuBuque, Kabuto, hyena
Reed Bins, Grimer, chinchilla
Avery Welch, Slowpoke, zebra
Miss Colby Bradtke, Fearow, clam
Lynsey Nitzsche, Seaking, bat
Jonas Bradtke, Squirtle, sardine
Michelle Gutmann, Rattata, swan
Drew Steuber, Poliwrath, crab
Maura Beatty Jr., Goldeen, hippopotamus
Ms. Celeste Predovic, Charizard, prairie dog
Von Altenwerth, Rhyhorn, mole
Enda Boyle, Venusaur, tiger
Miquel Nienow, Drowzee, wombat
Branden Schaefer DVM, Wartortle, marten
Ferdinand O'Hara, Weedle, scorpion
Rey Mosciski, Paras, gerbil
Courtney Green PhD, Nidoking, platypus
Clement O'Reilly, Nidoran, wolf
Ardath Stark, Gyarados, mallard
Shawanna Buckridge, Tauros, walrus
Gisele Swaniawski, Snorlax, toad
Gussie Mosciski, Primeape, buffalo
Mrs. Charmaine Brekke, Alakazam, bat
Fredericka O'Reilly, Pinsir, hedgehog
Kendall Hintz, Starmie, crocodile
Ms. Elena Gulgowski, Paras, seal
Araceli Crist, Metapod, fox
Mr. Lurline Wolf, Wigglytuff, koala
Marilyn Mertz, Abra, woodchuck
Shawnna Swaniawski, Gyarados, chimpanzee
Refugia Kerluke, Kadabra, walrus
