Brady VonRueden V, Magikarp, herring
Heidy Bins, Abra, rhinoceros
Jamie Rempel, Ponyta, herring
Magaret Mohr, Magneton, trout
Viola Ernser, Rhyhorn, porpoise
Williams Harber, Cubone, donkey
Tracee Kris, Nidoran, eel
Mr. Tony Franecki, Magmar, macaw
Mr. Cari Kuhlman, Rhyhorn, kangaroo
Tara Weber, Lickitung, llama
Machelle Sporer, Drowzee, guinea pig
Mr. Asa Maggio, Lickitung, mammoth
Lavon Bosco Sr., Venonat, cricket
Gil McClure, Metapod, serval
Breana Herzog, Omastar, fly
Mr. Augustine Kessler, Magikarp, snail
Mr. Kurt Gleichner, Clefable, marten
Trey Huels, Jigglypuff, monkey
Patty Rosenbaum, Kangaskhan, crow
Francisco Keeling, Farfetch'd, mallard
Hipolito Nader IV, Sandshrew, elk
Ms. Steve Graham, Venusaur, buffalo
Cristobal Yundt, Pidgeotto, mammoth
Veronika Kassulke, Magnemite, herring
Norberto Cassin, Rhyhorn, pug
Hai Leffler, Mankey, wombat
Rolando Bernier, Dragonair, raccoon
Reyes Herman III, Arbok, giraffe
Kyle Schiller, Voltorb, cicada
Dr. Valentin O'Kon, Farfetch'd, platypus
Loyd Ortiz I, Rapidash, donkey
Mrs. Ria Zemlak, Pidgeot, termite
Danny Williamson, Sandslash, turtle 
Mrs. Chae Schneider, Machop, pug
Tamela Blanda, Flareon, tiger
Freddie Hodkiewicz, Exeggutor, shark
Buena Morissette Jr., Chansey, eagle
Bernard Ferry, Ditto, hound
Kathy Schowalter, Rhydon, shark
Miss Fay Cormier, Raticate, reindeer
Mrs. Fred Upton, Gyarados, serval
Wanita Orn, Wigglytuff, leopard
Larisa Kulas, Dragonite, koala
Nerissa Turner, Squirtle, pig
Dr. Dario Leffler, Spearow, dinosaur
Gustavo Bednar, Metapod, badger
Mrs. Aura Bode, Meowth, mink
Sabina Altenwerth PhD, Nidoqueen, bear
Jessika Langworth DDS, Magneton, moose
Thersa Schimmel, Aerodactyl, rat
