Laure Keeling, Weepinbell, panda
Kristine Rosenbaum V, Jolteon, wildebeest
Steve Donnelly, Electrode, butterfly
Miss Chris Thompson, Seel, donkey
Dorinda Mosciski, Paras, porcupine
Ms. Sharika Lowe, Graveler, eagle
Dr. Jessie Franecki, Parasect, turtle 
Miss Siobhan Heathcote, Mr. Mime, hyena
China Johns, Horsea, deer
Bunny Gutmann, Raichu, dog
Thurman Christiansen, Golbat, cricket
Dr. Ramiro Abbott, Slowpoke, porcupine
Mrs. Erasmo Weissnat, Marowak, duck
Dr. Fredrick Rice, Drowzee, snake
Amal Donnelly III, Tentacool, oyster
Emmett McClure, Omastar, armadillo
Keith Russel, Magnemite, salmon
Merlyn Anderson, Ekans, kangaroo
Minda McGlynn MD, Venusaur, bear
Jonathan Cassin DVM, Eevee, hamster
Tamika Smith, Farfetch'd, duck
Elenor Haag DDS, Kabutops, baboon
Pat Bauch, Cubone, cheetah
Miss Jefferson Corkery, Slowbro, horse
Adrian Hodkiewicz, Dugtrio, antelope
Eloise O'Keefe DDS, Moltres, reindeer
Benito Harber, Arcanine, giraffe
Nikole Cartwright, Parasect, sardine
Vickie Parisian, Staryu, platypus
Homer Konopelski, Venusaur, mosquito
Dr. Garland Nienow, Venonat, jackal
Kasey Padberg, Articuno, bat
Sherley Prosacco I, Pidgeot, pig
Miss Usha Senger, Hitmonchan, bee
Cinthia McKenzie, Porygon, mouse
Virgil Paucek, Seaking, marten
Levi Schowalter IV, Slowbro, termite
Gregory Luettgen, Ivysaur, mouse
Jarred Stehr III, Clefable, hornet
Russ Hamill V, Lapras, oyster
Thomasena Tremblay, Articuno, trout
Lorelei Nolan, Tentacool, gerbil
Mignon Welch, Aerodactyl, mole
Gaylord Howe, Meowth, baboon
Rina Baumbach, Staryu, fox
Fausto Watsica IV, Arcanine, beetle
Teddy Pagac, Dragonite, alpaca
Amos Stoltenberg, Arbok, ant
Leopoldo Hansen, Charizard, chimpanzee
Aileen Boyle II, Onix, snake
