Dr. Marcellus Flatley, Hypno, caribou
Patrice Walsh, Dragonite, hedgehog
Yong Davis, Beedrill, reindeer
Napoleon McLaughlin, Dodrio, whale
Tad Vandervort, Jigglypuff, llama
Britany Kuvalis, Metapod, oyster
Harris Hyatt, Lapras, gnat
Mrs. Edward Labadie, Caterpie, eel
Reanna Beier DVM, Exeggcute, cheetah
Tyron Rempel IV, Pidgey, dog
Logan Kuphal Jr., Gyarados, oyster
Leticia Koepp, Cloyster, koala
Thaddeus Schmeler, Electrode, snake
Jen Funk Jr., Kingler, hare
Analisa Botsford, Lapras, serval
Ty Grady, Graveler, impala
Leatha Funk, Raticate, hyena
Miss Sharie Blick, Mew, muskrat
Cathey Jenkins, Pidgey, lion
Chanell Braun, Psyduck, camel
Lizzette Rutherford, Beedrill, guinea pig
Elbert Bruen, Chansey, manatee
Drema Boehm, Weezing, jackal
Roderick Kassulke IV, Ninetales, mosquito
Ms. Cory Hirthe, Rapidash, hare
Melany Crona MD, Paras, gnu
Ms. Dena Towne, Golem, donkey
Hector Weissnat, Hitmonlee, locust
Santana Wisozk, Dragonite, sheep
Kelley Goldner, Vulpix, serval
Julian Wilderman, Pinsir, hornet
Jarod Kunde, Clefairy, elephant
Cyndy Gerlach, Nidoran, cod
Roxie Ankunding, Machoke, snake
Antone Willms, Jolteon, snail
Marquetta Beahan, Farfetch'd, gnat
Josiah Hodkiewicz, Gengar, cheetah
Kory O'Hara, Wartortle, mallard
Sherise Monahan, Fearow, termite
Myron Kuvalis, Wartortle, rhinoceros
Almeta Boyer MD, Nidoqueen, bear
Rosario Romaguera V, Nidoran, eel
Elaine Schoen, Krabby, tiger
Latrina Lockman, Spearow, macaw
Jorge Skiles, Krabby, ox
Camille Anderson, Gengar, tiger
Denise Okuneva Sr., Fearow, ox
Toya Kozey, Mew, mouse
Elbert Beatty, Hitmonlee, elephant
Carline Reynolds, Seel, monkey
