Dorethea Murazik, Kadabra, water buffalo
Shaquita Barrows, Geodude, wallaby
Dyan Bins, Zapdos, mole
Edelmira Bechtelar, Magmar, mammoth
Leslie Hamill, Electabuzz, bat
Carter Renner, Weepinbell, donkey
Theda Pfeffer, Pidgey, goat
Merrill Towne II, Rattata, wombat
Miss Johnathon Koch, Starmie, chinchilla
Phillis Schowalter Sr., Koffing, cicada
Nelia Haag, Oddish, moose
Wyatt Yundt, Alakazam, wallaby
Miss Aubrey Hills, Kabuto, whale
James Collier, Poliwrath, pug
Ms. Shaina Bahringer, Onix, crow
Dewitt Gislason III, Wigglytuff, yellowjacket
Terrence Boyer, Paras, cockroach
Madison Keeling, Dratini, armadillo
Lettie Kuphal, Ponyta, turtle 
Mr. Armand Ortiz, Venonat, bee
Lorean Cruickshank, Venusaur, cat
Dr. Shirl McGlynn, Chansey, monkey
Mr. Jamel Wyman, Krabby, minnow
Zachariah Wyman, Dragonair, zebra
Dr. Shakita Fadel, Vileplume, rabbit
Nga O'Hara, Muk, serval
Mrs. Everett Hane, Machamp, hare
Connie Baumbach MD, Bellsprout, eel
Tracey Gleichner, Kingler, salmon
Joellen Mertz, Ninetales, mule
Marguerite Gaylord III, Mew, pug
Norris Berge V, Electrode, camel
Colin Bednar, Vaporeon, oyster
Burma Bartoletti, Bulbasaur, leopard
Mrs. Marquis Crist, Kabutops, hornet
Maria Cruickshank, Geodude, beaver
Miss Temeka Bartoletti, Snorlax, hippopotamus
Cameron West, Clefable, mallard
Lana Cole, Seadra, locust
Alma Von, Jigglypuff, jackal
Miss Queenie Adams, Exeggutor, gnu
Danilo Kunde DDS, Alakazam, moose
Layne Pfeffer III, Pidgeotto, wolf
Ngan Rath, Ditto, dog
Clement Leannon, Venonat, pug
Robena Heller, Aerodactyl, macaw
Delfina Koelpin IV, Tangela, zebra
Harrison Hintz, Muk, woodchuck
Donn Gaylord, Abra, goldfish
Estela Walsh, Primeape, mallard
