Demarcus Simonis, Arcanine, hare
Michel Flatley, Porygon, rat
Elene Greenholt, Raticate, wallaby
Carter Welch, Poliwag, cat
Dr. Vern Schuster, Kingler, mule
Amee Heaney, Raticate, butterfly
Sharilyn Gutkowski, Paras, badger
Velma Ebert, Gyarados, salmon
Carlie Roberts IV, Meowth, otter
Ms. Noah Macejkovic, Wigglytuff, beaver
Graciela Gutmann, Rattata, snail
Lissa Crist MD, Beedrill, ferret
Mrs. Francisco Schuppe, Kabutops, mammoth
Dr. Santos Harris, Horsea, termite
Ms. Jacob Weissnat, Machop, horse
Morton Ryan, Meowth, pig
Lela Zboncak, Arcanine, herring
Laure Kshlerin I, Rattata, dog
Toshiko Kiehn, Pidgeotto, rhinoceros
Mr. Letisha Corkery, Vileplume, yak
Leonore Ritchie, Muk, muskrat
Gino Cole, Lapras, wombat
Dr. Debera Lowe, Magneton, bear
Matilde Cormier MD, Zapdos, grasshopper
Buford Adams II, Dragonair, antelope
Belia Bahringer, Dragonair, duck
Bethany Lindgren I, Alakazam, jellyfish
Ashley Bahringer, Nidoqueen, grasshopper
Galen Strosin MD, Diglett, cicada
Alesia Gerhold, Zapdos, water buffalo
Clarice Schaden, Rapidash, snake
Lorenzo Anderson, Flareon, fly
Mrs. Joel Collins, Venonat, pug
Elodia Littel Jr., Pikachu, marten
Miss Rikki Monahan, Kabuto, gerbil
Karla Nitzsche, Haunter, gnat
Cyril Kunde, Krabby, whale
Reena White, Wigglytuff, ant
Delmer Barton, Jolteon, goat
Mimi Erdman, Horsea, cattle
Maryetta Farrell PhD, Sandshrew, muskrat
Vanesa Jacobi, Zubat, wildebeest
Bonita Homenick, Krabby, raven
Adolfo Walter, Slowbro, zebra
Sharolyn Watsica, Scyther, giraffe
Billy Kemmer, Seel, cricket
Mrs. Fredrick Barton, Dodrio, chimpanzee
Shayna West, Paras, elk
Liliana Mueller, Fearow, donkey
Mrs. Alexis Lockman, Electrode, alligator
