Fred Murphy, Rhyhorn, jackal
Abdul Rohan, Meowth, toad
Bennie Rau, Tauros, moose
Dr. Michaele Walsh, Paras, elk
Julius Bernier, Sandshrew, trout
Rene Kuhic DDS, Clefable, donkey
Rosamond Cartwright, Blastoise, hyena
Carmine Hettinger, Electabuzz, chimpanzee
Cristy McDermott, Farfetch'd, platypus
Casey Grant, Exeggcute, guinea pig
Miss Markus Altenwerth, Gastly, ferret
Lacy Dach, Kabuto, leopard
Seymour Weissnat III, Grimer, elephant
Hong Shanahan, Magikarp, hyena
Merna Swift, Magnemite, beetle
Lenard Gislason, Magnemite, crab
Dr. Lester Dooley, Wigglytuff, squirrel
Clayton Daugherty MD, Arcanine, pig
Dale Trantow, Charizard, mink
Faustino Bogisich Sr., Ekans, ferret
Eboni Pagac, Kabutops, wombat
Amos Mann, Charmander, locust
Novella Ferry, Mewtwo, hippopotamus
Brittanie Gerhold, Aerodactyl, coyote
Arie Paucek, Nidoran, yak
Kenya Kuphal, Kakuna, mosquito
Hipolito Kerluke V, Clefable, cheetah
Ms. Lulu Buckridge, Dragonite, koala
Columbus Kiehn, Exeggutor, eel
Kendall Waters, Marowak, donkey
Sanda Kilback, Dragonite, prairie dog
Otis VonRueden, Primeape, mallard
Hobert Roob, Dodrio, coyote
Danny Howell, Magneton, hare
Yuko Bailey, Kabuto, zebra
Leslie Braun, Seadra, hippopotamus
Dr. Bridgette Batz, Drowzee, badger
Dewayne Willms, Wartortle, caribou
Mr. Edmund Torphy, Charmeleon, buffalo
Trang Baumbach, Alakazam, llama
Wendy Abernathy PhD, Tauros, marten
Franklin Hane Jr., Muk, guinea pig
Mrs. Kay Walker, Primeape, raccoon
Leonel Schiller, Doduo, gorilla
Sandy Kuhlman, Electabuzz, llama
Morton Mills Jr., Gloom, squirrel
Saul Cassin, Primeape, chimpanzee
Dr. Herschel Adams, Eevee, dolphin
Bart Marks, Sandslash, cicada
Dr. Bud Heidenreich, Kadabra, cicada
