Bobbie Abbott, Magnemite, lion
Brain Lubowitz, Nidorina, elephant
Federico Brown, Pidgeotto, jackal
Ms. Phillip Lang, Jynx, cricket
Nakia Ernser, Exeggcute, tortoise
Monty Mann, Venusaur, dinosaur
Ms. Veronique Lowe, Pikachu, cricket
Miss Shemika Treutel, Raticate, raccoon
Melvin Metz, Goldeen, mouse
Elke Turcotte, Graveler, porpoise
Romeo Dicki Jr., Seadra, llama
Isabell Kuhlman, Seel, spider
Mr. Jaimee Kling, Seaking, porpoise
Wilhelmina O'Hara, Raichu, gnu
Henriette Dietrich, Dugtrio, gorilla
Waldo Leffler IV, Kabutops, dinosaur
Jesus Ryan, Ponyta, cicada
Yoshie Daugherty, Pinsir, porpoise
Dr. Chanell Kulas, Dodrio, rhinoceros
Dee Ortiz II, Zapdos, dinosaur
Gretchen Toy I, Bellsprout, snake
Joe Gutkowski, Venusaur, eel
Erlene Dibbert, Primeape, cod
Hedy Pacocha DDS, Nidoqueen, monkey
Florentino Frami Jr., Horsea, baboon
Drema Satterfield, Charizard, crow
Dewey Bauch, Drowzee, coyote
Cathleen Boehm, Exeggutor, ant
Mitchell Christiansen, Rattata, bat
Mrs. Coralie Stracke, Electrode, fly
Dr. Karma McCullough, Voltorb, bat
Ngoc Frami, Oddish, wallaby
Mrs. Ayana Stanton, Magnemite, impala
Marcellus Price, Seaking, marten
Margarita Carroll II, Weedle, otter
Demetrius O'Reilly, Pikachu, mallard
Terese Dickens, Pinsir, gerbil
Marcelle Koepp, Parasect, tortoise
Kraig Renner, Muk, butterfly
Edda Douglas, Doduo, zebra
Robbin Effertz DDS, Magikarp, fly
Dong Larkin II, Blastoise, trout
Kamilah Donnelly, Dratini, crocodile
Lachelle Schamberger V, Mew, badger
Tyree Hilpert Sr., Magnemite, dolphin
Jacque Turcotte, Slowpoke, salmon
Glenn Powlowski, Alakazam, rhinoceros
Cherie Baumbach, Dewgong, wallaby
Sarita Steuber, Beedrill, cheetah
Jamel Hand, Kabuto, bear
