Debbra Wyman, Rhyhorn, tiger
Dr. Laureen Bashirian, Nidorina, herring
Fonda Beatty, Kakuna, ferret
Bryant Bechtelar, Dewgong, herring
Mr. Sherley Mante, Jynx, grasshopper
Miyoko Gusikowski, Nidoqueen, sardine
Rhett Hermann, Bellsprout, butterfly
Nicky Ritchie, Vileplume, fox
Loria Weimann, Poliwhirl, donkey
Dr. Darlena Price, Charizard, ferret
Wilbur Bogisich, Ditto, beetle
Garry Greenfelder, Charmander, elephant
Hildegard Barrows, Golbat, mule
Miss Beaulah Bergnaum, Machamp, bear
Lakia Lakin V, Rattata, swan
Miss Jerrold Parisian, Meowth, alligator
Orval Larson, Nidoran, worm
Sherrill Simonis, Jolteon, lizard
Gerard Orn III, Seadra, herring
Tommy Quigley, Gyarados, gerbil
Lacresha Koch, Articuno, panda
Bruna Wilkinson, Arcanine, scorpion
Riva Shields II, Marowak, caribou
Madelene King, Omanyte, kangaroo
Chance Hettinger, Jynx, mammoth
Dr. Margery Beatty, Onix, fox
Dr. Dee Hand, Charmander, macaw
Machelle Romaguera, Poliwrath, marten
Reggie Donnelly, Tauros, lion
Hobert Denesik II, Charmander, rabbit
Joel Jakubowski DDS, Weepinbell, woodchuck
Nu Stehr, Vileplume, salmon
Rashida Raynor, Farfetch'd, hyena
Kelley Fadel, Kabutops, sheep
Pearline D'Amore Sr., Seadra, butterfly
Ms. Jessenia Krajcik, Tauros, horse
Boyce Langworth, Magikarp, trout
Randee Gaylord, Fearow, macaw
Bobby Tremblay, Raticate, water buffalo
Dolores Hahn IV, Omanyte, manatee
Dr. Jerri Ankunding, Kabutops, raven
Luanne Goyette, Doduo, clam
Muoi Breitenberg, Krabby, caribou
Dr. Gail Howe, Pidgeotto, herring
Hollie Willms, Rhyhorn, manatee
Mr. Johnie Kuphal, Raichu, panda
Morris Schuppe, Nidoran, snail
Harley Fisher, Bellsprout, sea lion
Karine Bayer, Magneton, bat
Miss Georgia Ritchie, Kakuna, hamster
