Ms. Deena Kovacek, Dodrio, spider
Young Bayer, Ditto, weasel
Latoria Ratke, Tangela, dog
Dewey Conroy, Rattata, lizard
Oswaldo Gulgowski, Seadra, mammoth
Liana Williamson, Victreebel, alligator
Dorotha Wilkinson, Omastar, chimpanzee
Johnathan Emard, Onix, worm
Roger Upton II, Poliwag, butterfly
Chara Koepp, Pidgeot, turtle 
Emely Walker, Snorlax, koala
Amanda Kuhic, Machoke, goat
Wayne DuBuque, Mr. Mime, skunk
Bud Schinner, Tentacruel, yak
Britney Becker, Psyduck, turtle 
Drucilla Paucek, Bulbasaur, snake
Dr. Tamie Torphy, Nidoran, cattle
Ismael O'Keefe DDS, Wartortle, raven
Lisette Wiegand Jr., Rhydon, jellyfish
Annett Lindgren, Grimer, bat
Cameron Kuphal, Lapras, porcupine
Hien Barton, Beedrill, wildebeest
Rosalia Carter PhD, Charizard, tortoise
Mr. Len Boehm, Lapras, ape
Hildegard Sauer, Gyarados, hornet
Napoleon Harber, Chansey, tortoise
Joyce Christiansen, Goldeen, skunk
Jacqulyn Larkin, Clefable, weasel
Larae Hahn I, Metapod, squirrel
Norris Reynolds, Squirtle, oyster
Ned Connelly, Nidoran, rhinoceros
Emmanuel Hoeger, Poliwhirl, whale
Avery Brekke, Paras, monkey
Clifton Hudson, Scyther, manatee
Risa Langworth PhD, Clefable, louse
Marquis Crist III, Raticate, panda
Rochelle Miller, Venomoth, locust
Geraldo Borer PhD, Seel, muskrat
Marlena Klein, Horsea, porpoise
Alden Watsica, Scyther, ferret
Kelli Kuhic, Voltorb, crocodile
Quinton Casper, Pinsir, goldfish
Florene Wyman, Seel, gnu
Earleen Ernser DVM, Machamp, mosquito
Jose Friesen, Koffing, hamster
Reinaldo Greenfelder, Magnemite, cat
Christene Hilpert DVM, Kangaskhan, crab
Dr. Debera Mosciski, Jynx, walrus
Bess Satterfield, Alakazam, dolphin
Forest Bradtke, Seadra, mosquito
