Candi Feil, Hypno, frog
Bernard Schumm, Rapidash, caribou
Dorotha Heller, Rattata, wasp
Denis Howe, Eevee, impala
Dr. Rana Cruickshank, Victreebel, mallard
Florene Labadie II, Koffing, mink
Peter Lang, Jynx, yellowjacket
Tamatha Huels, Mr. Mime, chinchilla
Federico Reichel, Spearow, donkey
Daria Gleason, Wartortle, rabbit
Rosanne Ward, Kakuna, reindeer
Freeman Hettinger, Nidoran, alligator
Hyman Hintz, Farfetch'd, bear
Lucila Stiedemann, Magikarp, sheep
Tereasa Barton, Nidorino, gnat
Marlin Cassin, Persian, mink
Ms. Ralph Bogisich, Kabuto, cricket
Annabel Oberbrunner, Kingler, llama
Mrs. Louie Dickens, Kabutops, panda
Mrs. Al Gusikowski, Venonat, jellyfish
Jessika Dietrich, Beedrill, snake
Allie Towne, Geodude, antelope
Silas McCullough, Clefable, seal
Erick Stark II, Nidorina, hedgehog
Mr. Elayne Zboncak, Snorlax, gerbil
Tory Welch, Bellsprout, wombat
Na Bashirian, Machoke, locust
Aurea Marks, Mankey, wolf
Jerald Schmeler, Abra, deer
Ms. Kenneth Jacobs, Venusaur, whale
Ruby Kulas, Dugtrio, crow
Santos Olson, Slowpoke, leopard
Benedict Aufderhar, Onix, porpoise
Bryan Corkery V, Pikachu, tiger
Jeni Vandervort, Arbok, lizard
Saul Christiansen, Marowak, ant
Regan Rolfson, Koffing, herring
Erna O'Keefe, Snorlax, raccoon
Wenona Bergnaum Sr., Mr. Mime, bat
Mr. Rolland Daniel, Nidorino, herring
Amada Zboncak, Machoke, minnow
Silvana Marvin II, Golbat, sardine
Zack Bradtke, Cubone, sea lion
Ralph Towne, Meowth, buffalo
Marg Parisian, Caterpie, scorpion
Nannie Orn, Pinsir, elephant
Carson Ebert, Starmie, monkey
Willow Durgan DVM, Weedle, caribou
Derick Schuppe, Mr. Mime, hare
Antoine Wiegand, Gengar, buffalo
