Gennie Casper, Primeape, impala
Dr. Rory Cruickshank, Abra, porcupine
Dr. Dawne Barrows, Slowpoke, toad
Dr. Abraham Littel, Drowzee, clam
Yadira Sipes I, Drowzee, dolphin
Tyesha Berge, Kingler, kangaroo
Carmen Lind I, Farfetch'd, sea lion
Eugenia Gerlach, Squirtle, mallard
Franklin Abernathy, Venonat, gnat
Roger Ward, Ditto, shark
Ryan Christiansen, Machamp, llama
Miss Reyna King, Diglett, alpaca
Genesis Schuppe, Shellder, seal
Savanna Dare PhD, Muk, water buffalo
Valeri Aufderhar, Jigglypuff, cockroach
Suzan Kulas, Arbok, gerbil
Lashawn Lehner, Onix, porcupine
Mr. Kraig Jacobs, Machop, sardine
Coretta Lubowitz, Doduo, lizard
Steve Wolff, Venusaur, badger
Mel Ankunding MD, Shellder, antelope
Robert Goldner, Nidoran, beetle
Dr. Orlando Robel, Gengar, dolphin
Tuyet Stoltenberg, Meowth, sardine
Eldridge Gaylord, Rapidash, cicada
Miss Bryan Kulas, Metapod, spider
Jerald Mayert, Ninetales, sea lion
Kiana Spinka, Rhyhorn, buffalo
Teodoro Moore DVM, Flareon, serval
Francisco Kunze DDS, Ponyta, impala
Tod Halvorson Sr., Arbok, frog
Alexia Christiansen MD, Vulpix, chinchilla
Alexis Hilpert, Kingler, gerbil
Isa Labadie, Machop, oyster
Calvin Mertz, Alakazam, spider
Granville Bogisich, Psyduck, butterfly
Eric Reinger, Snorlax, chimpanzee
Mr. Reuben Schamberger, Shellder, mallard
Miss Janise Buckridge, Golbat, sea lion
Delia Schiller, Seaking, zebra
Glory DuBuque, Bellsprout, chinchilla
Clayton Conroy, Haunter, weasel
Josue Torp, Alakazam, beaver
Tod McKenzie, Jigglypuff, raccoon
Miss Gaston Orn, Marowak, hippopotamus
Bert Conroy, Doduo, herring
Claudio Reilly DVM, Dragonair, sheep
Wes Pacocha, Jigglypuff, lion
Alfred Feil, Exeggcute, macaw
Margarito Toy, Hypno, platypus
