Dr. Jonathan Romaguera, Victreebel, spider
Miss Masako Kuhic, Moltres, sardine
Johanne Kuhn, Magnemite, alpaca
Mr. Benjamin Dooley, Clefairy, horse
Marcelino Zboncak PhD, Metapod, alligator
Emory O'Conner MD, Rhydon, llama
Ms. Ernie Upton, Cubone, sea lion
Claudia Kozey III, Pidgeotto, porpoise
Leota Parisian, Vileplume, jackal
Miss Ladawn Stoltenberg, Raticate, dolphin
Terence Gleason, Sandshrew, alpaca
Galen Goldner, Ekans, dinosaur
Deadra Toy, Hitmonlee, shark
Lita Ratke PhD, Ninetales, baboon
Jacinta Lesch, Cloyster, porcupine
Eden Medhurst II, Pidgeotto, rabbit
Virgilio Russel, Exeggcute, alpaca
Coreen Windler DDS, Spearow, gorilla
Mrs. Amanda Spencer, Kadabra, gnat
Matt Beier, Machoke, ape
Marcos Padberg IV, Bellsprout, ape
Eldon Lubowitz, Venomoth, frog
Lino D'Amore, Spearow, mosquito
Dr. Elbert O'Keefe, Pinsir, hedgehog
Winfred Rodriguez, Slowpoke, ape
Shandi Medhurst DDS, Rattata, chimpanzee
Malvina Schimmel MD, Weedle, platypus
Kerstin Leannon, Wartortle, wasp
Steve Marks IV, Dragonair, rabbit
Lou MacGyver MD, Drowzee, chinchilla
Emery Roob, Gengar, whale
Emery Lemke, Charmander, dinosaur
Karri Cruickshank, Voltorb, rabbit
Dustin Ortiz I, Weedle, platypus
Jerry McClure III, Ninetales, gnat
Myles Batz, Mew, cicada
Lowell Herzog MD, Bulbasaur, elephant
Tyree Nader, Ponyta, mink
Tracee Zboncak, Gengar, jellyfish
Cathy Hoppe, Paras, jellyfish
Ms. Kari Olson, Nidorino, rat
Madaline Senger, Graveler, porcupine
Lashanda Windler, Drowzee, tortoise
Inge Metz, Dratini, armadillo
Miss Ted Howe, Tentacool, jackal
Merle Spinka Jr., Farfetch'd, fox
Dr. Chu Lang, Charmander, zebra
Mr. Bradley Bednar, Gloom, jackal
Kanesha Ortiz, Eevee, cicada
Doug Sauer, Dragonair, jackal
