Anita Mosciski, Seadra, grasshopper
Jennell Romaguera, Meowth, jellyfish
Isobel Glover, Arcanine, fly
Cleveland Roberts, Bulbasaur, squirrel
Mrs. Dewey Witting, Zapdos, clam
Lydia Thiel, Venusaur, crocodile
Delila O'Reilly, Moltres, leopard
Cami Schuppe, Butterfree, deer
Juliane Paucek, Hypno, serval
Lon Murray, Scyther, worm
Allyson Johnson, Pinsir, gnu
Miss Danny Weber, Bellsprout, marten
Chong Mitchell, Golbat, squirrel
Jeremy Cummings, Venomoth, butterfly
Mr. Elizabet Kulas, Onix, squirrel
Zonia Gleason, Bulbasaur, porpoise
Courtney Jast IV, Persian, donkey
Miss Vincenza Metz, Spearow, goat
Donovan Senger, Poliwag, giraffe
Sydney DuBuque, Tentacruel, rhinoceros
Raymonde Robel, Omastar, dolphin
Damon Volkman Jr., Rhydon, louse
Julie Schamberger, Pidgeot, salmon
Kenyatta Wyman, Nidoking, cattle
Wilfred Koepp, Machop, lion
Mr. Karisa Hodkiewicz, Lickitung, rat
Julee Walter DDS, Tauros, marten
Milford Lakin, Paras, cheetah
Malcom Rohan, Kangaskhan, cockroach
Angelita Jacobson, Tentacool, pug
Cesar Wiegand, Magikarp, ant
Gwyneth Zemlak, Haunter, termite
Lamar Zulauf PhD, Arbok, hornet
Valeri Dicki IV, Poliwag, whale
Ardella Gulgowski, Mewtwo, crow
Filiberto Cassin II, Eevee, manatee
Miss Felix Williamson, Geodude, rabbit
Sean Kiehn, Rapidash, mink
Dr. Marion Sanford, Zubat, reindeer
Kristle Spencer, Bellsprout, guinea pig
Shirl Dietrich, Machop, marten
Miss Jefferson Swaniawski, Clefable, pug
Kyla Jenkins, Dewgong, cat
Guillermo Konopelski, Muk, wallaby
Jeff Haag, Goldeen, termite
Carolann Cassin III, Dodrio, gerbil
Ulysses O'Reilly, Raticate, fish
Lindsey Block, Golduck, gerbil
Mr. Michelle Grady, Magikarp, tortoise
Joshua Morar, Dratini, gorilla
