Katerine Bergnaum, Vaporeon, antelope
Tristan Braun MD, Rhydon, trout
Fausto Moen, Seel, wolf
Heriberto Wilderman, Nidoking, cat
Roscoe Treutel PhD, Starmie, grasshopper
Andy Durgan, Machop, monkey
Pasquale Runolfsdottir, Horsea, ferret
Wayne Miller I, Starmie, donkey
Lola Swift, Pinsir, dinosaur
Lavonda Ward, Kakuna, worm
Bradford Waters Sr., Kadabra, eel
Riley Kilback, Parasect, leopard
Towanda Hodkiewicz, Magneton, zebra
Catharine Torphy, Starmie, skunk
Meryl Grady, Slowbro, baboon
Shirly Yost, Psyduck, wasp
Antone Towne, Caterpie, cod
Curt Okuneva V, Sandshrew, cattle
Williams Ziemann, Dodrio, weasel
Isaias Jacobson, Nidorina, bat
Lai Reichert, Venusaur, manatee
Bonny Koss, Dewgong, camel
Lavenia King, Kangaskhan, baboon
Vern Boehm, Gyarados, woodchuck
Gerda Sanford, Seel, coyote
Kittie Cummerata, Growlithe, skunk
Adolfo Hartmann, Haunter, swan
Ms. Franklyn Cassin, Sandshrew, pig
Marjory Reilly, Magnemite, swan
Deanna Kozey, Persian, toad
Wyatt Balistreri, Scyther, woodchuck
Elias Stiedemann, Zubat, rabbit
Dave Nienow, Rhyhorn, cheetah
Sylvester Prosacco, Slowpoke, mallard
Caroline Murazik, Nidoran, mule
Eloy Huel, Cubone, kangaroo
Morton Hermann, Zapdos, weasel
Blanch Ullrich, Nidorina, yellowjacket
Fausto Runte, Omastar, tortoise
Mrs. Sonny White, Mewtwo, alpaca
Mr. Jeremy Hackett, Omanyte, mosquito
Sally Gleichner IV, Mew, weasel
Spring Kuhlman, Fearow, marten
Rey Stehr, Primeape, cod
Leonard Huels, Chansey, caribou
Eartha Crooks, Muk, fly
Launa Cummings, Gyarados, toad
Leontine Zemlak, Gloom, wasp
Mrs. Brittani Schneider, Mewtwo, wildebeest
Rickey Kris, Mr. Mime, badger
