Chrissy Koepp, Haunter, wallaby
Miss Marcia Koelpin, Ditto, llama
Mr. Amalia Rowe, Horsea, monkey
Guy Cronin, Rhydon, louse
Helga Doyle, Graveler, mosquito
Miss Claude Yundt, Charmander, grasshopper
Pinkie Hodkiewicz, Nidoran, minnow
Emile Monahan Jr., Nidorino, alligator
Brendan Herzog MD, Venomoth, eagle
Gertha Langosh, Venusaur, eagle
Gregorio Terry, Charmeleon, buffalo
Geraldo Gutmann V, Magnemite, prairie dog
Millie Stracke II, Starmie, guinea pig
Kyra Doyle, Staryu, goat
Magan Tillman, Growlithe, clam
Michele Doyle, Kabuto, water buffalo
Danille Bradtke, Ditto, gerbil
Mr. Numbers Altenwerth, Hitmonchan, gerbil
Edmundo Lynch, Nidoran, woodchuck
Ardath Will, Alakazam, walrus
Genesis Braun, Seaking, bear
Milton Homenick, Ponyta, horse
Kazuko Kiehn, Weedle, crocodile
Jamie Towne, Starmie, reindeer
Darrel Rowe, Grimer, alligator
Kyle Kessler, Onix, weasel
Mr. Janie Abbott, Squirtle, marten
Brice Bogisich, Venonat, wallaby
Hedy Willms, Gyarados, lion
Mr. Dudley Lubowitz, Chansey, mole
Lyndsey Mohr, Nidoking, muskrat
Keneth Funk, Eevee, coyote
Frederic Pollich, Weepinbell, crow
Brice Rosenbaum, Wartortle, jackal
Denny Armstrong, Voltorb, zebra
Nelida Hudson, Magmar, wasp
Keenan Wisoky, Shellder, yak
Mrs. Houston Abernathy, Shellder, walrus
Antoine Jenkins, Magneton, butterfly
Jorge Muller, Krabby, kangaroo
Mary Swaniawski V, Magnemite, walrus
Tyrell Zieme, Beedrill, louse
Tammara Okuneva DVM, Primeape, zebra
Mr. Isaac Bergnaum, Goldeen, yellowjacket
Vikki Schumm, Raichu, reindeer
Morgan Ernser, Parasect, cat
Lacy Considine DDS, Mew, cat
Candice Abernathy, Arcanine, termite
Sandy Schiller Sr., Bellsprout, minnow
Miss Becki Padberg, Ekans, wallaby
