Miss Rosamaria Harvey, Kabuto, antelope
Whitley Hermann, Eevee, termite
Mr. Pierre Adams, Hitmonlee, snake
Christoper Huels, Golem, platypus
Mrs. Lin Altenwerth, Ekans, mosquito
Kasey Hudson, Poliwrath, seal
Abe Armstrong, Jigglypuff, moose
Glennie Kertzmann, Slowpoke, mammoth
Rickey Cormier, Gastly, eel
Britni Wilkinson II, Kabuto, trout
Dr. Robert Waters, Starmie, antelope
Hortensia Jenkins, Moltres, camel
Dr. Ahmad Marks, Oddish, monkey
Terri Kuphal Jr., Parasect, muskrat
Sue Fisher Jr., Venusaur, shark
Annelle Huel III, Krabby, moose
Adah Howell, Tangela, turtle 
Dr. Hwa Langworth, Venonat, termite
Bernardina Christiansen, Primeape, turtle 
Miss Nereida Spinka, Bellsprout, cat
Marquita Runolfsdottir, Zapdos, manatee
Kacey Howell, Alakazam, hyena
Raymond Kovacek, Grimer, yak
Jeffery Stoltenberg I, Machop, kangaroo
Marnie Hettinger, Drowzee, ox
Katie Waters, Metapod, dog
Mable Schneider, Moltres, dinosaur
Clemente Hickle, Lapras, dog
Cyril Bashirian, Grimer, seal
Jordon Haley, Clefable, fly
Miss Micha Prosacco, Geodude, fly
Romeo Hudson IV, Primeape, salmon
Mr. Felice Von, Tentacruel, hound
Mrs. Vincenzo Runte, Ninetales, ferret
Thresa Nolan, Venomoth, badger
Mrs. Kathyrn Tremblay, Nidorino, ferret
Xavier Little II, Nidoran, oyster
Ms. Shyla Schmidt, Drowzee, kangaroo
Armandina Schaefer, Ponyta, goat
Billy Steuber, Hypno, platypus
Kay Weissnat III, Butterfree, fox
Laree Turner, Farfetch'd, dolphin
Luke Rogahn, Onix, hedgehog
Pablo Runolfsdottir Jr., Venonat, chimpanzee
Inocencia Hickle III, Pikachu, cod
Wally Feeney, Arcanine, elephant
Dr. Lakia Lindgren, Vulpix, spider
Dusty Towne, Meowth, beaver
Bonny Lueilwitz, Cloyster, scorpion
Jerry Bayer Jr., Machamp, cicada
