Yajaira Zboncak PhD, Drowzee, salmon
Ms. Frederic Swift, Shellder, bat
Miss Edgar Ankunding, Pidgeotto, butterfly
Bennett Rutherford, Charmander, coyote
Roxana Hoppe, Vulpix, minnow
Margaretta Grant III, Vaporeon, badger
Tyesha Walter, Exeggcute, hare
Kimberely Schumm DDS, Electabuzz, sheep
Laurel D'Amore, Pidgeot, muskrat
Dan Pacocha II, Charmeleon, swan
Mr. Narcisa Ankunding, Golbat, bee
Kurtis Kiehn, Bulbasaur, clam
Olinda Mraz, Abra, serval
Alissa Monahan, Parasect, sea lion
Eli Wisozk, Nidoran, manatee
Jada Huel, Mew, crab
Joie Waelchi, Charmeleon, elephant
Lesley Hermiston, Primeape, guinea pig
Ms. Jarrod Jerde, Caterpie, manatee
Albert Altenwerth, Mankey, yellowjacket
Leon Keeling, Seadra, sea lion
Georgine Hagenes, Venomoth, gnu
Cari Brekke, Tauros, rabbit
Florence Okuneva, Flareon, louse
Ms. Bernardo Homenick, Mankey, mink
Ladawn Mitchell, Gastly, water buffalo
Eliseo Hamill V, Bellsprout, cockroach
Eugene Daugherty, Kabutops, hamster
Reuben Walsh, Lickitung, manatee
Lavinia Zieme, Poliwag, elephant
Karan Borer II, Growlithe, herring
Denny Lynch, Mew, mule
Ramonita Williamson, Seaking, moose
Francine Mosciski, Scyther, eagle
Yessenia Legros, Jolteon, fly
Nathan Rogahn, Blastoise, muskrat
Danilo Lebsack, Golem, mole
Wilda Farrell, Eevee, muskrat
Oretha Blanda, Nidorina, antelope
Marg D'Amore, Marowak, marten
Dessie Bogan, Arcanine, jellyfish
Brianna Morar, Weedle, baboon
Almeda Hoeger I, Wigglytuff, raven
Saran Wilderman I, Haunter, cockroach
Sophia Macejkovic, Diglett, mouse
Miss Man Deckow, Caterpie, snake
Fleta Jerde, Butterfree, sheep
Mrs. Freddy Block, Moltres, spider
Trinidad Hahn, Dodrio, snail
Cristen Bahringer I, Lickitung, snail
