Shaunna Shanahan, Blastoise, eagle
Tod Robel, Moltres, bat
Ricardo Waters, Mr. Mime, leopard
Randolph Kuvalis, Charizard, bee
Mr. Stephen Funk, Rapidash, gorilla
Ricardo Vandervort, Clefairy, skunk
Latarsha Keeling, Farfetch'd, chimpanzee
Mac Collins, Pidgeot, cat
Randi Stroman, Ponyta, chinchilla
Joye Trantow, Bulbasaur, badger
Alexandria Schulist, Muk, mosquito
Kendall McKenzie Sr., Poliwhirl, llama
Eleonora Vandervort, Voltorb, wasp
Florentino Quigley MD, Wigglytuff, weasel
Joaquin Wintheiser, Poliwrath, dolphin
Hanh Walsh, Zapdos, rabbit
Giovanni Walker MD, Poliwrath, horse
Vaughn Mueller DDS, Nidoking, hyena
Angelo Torp, Oddish, minnow
Josphine Greenfelder, Mr. Mime, guinea pig
Emory Windler, Scyther, otter
Freddy Quigley, Shellder, pug
Winston Russel, Venonat, manatee
Steve Effertz, Nidorino, chimpanzee
Cherilyn Spencer, Kakuna, leopard
Miss Evangeline White, Clefairy, ant
Corrin Mayert, Nidoqueen, fly
Ms. Vannesa Towne, Onix, buffalo
Celia Ullrich, Caterpie, cockroach
Joaquin Cremin, Oddish, horse
Jack Beatty, Vulpix, scorpion
Garry Orn, Golduck, louse
Lavette Kutch, Ditto, crab
Shirley Wolff, Spearow, jackal
Ms. Chong Marks, Rattata, termite
Marvin Durgan, Seel, llama
Katherin Quigley, Golduck, hedgehog
Malcolm Leffler, Slowbro, herring
Eldridge Kuhlman, Hypno, herring
Mrs. Noble Hudson, Parasect, jackal
Miss Mante, Magnemite, ant
Salvador Reichel, Onix, guinea pig
Anisha O'Keefe Sr., Venusaur, dolphin
Mrs. Caren Reynolds, Mr. Mime, jackal
Emanuel Steuber, Diglett, clam
Sean Lang, Victreebel, pig
Myrl Fay, Paras, caribou
Lashell Lynch, Jynx, hamster
Rickey Pollich, Psyduck, hedgehog
Haydee Jenkins, Nidoran, toad
