Mrs. Kristeen Halvorson, Cubone, cat
Aurelia D'Amore, Ninetales, macaw
Beau Green, Charizard, rat
Zachariah Corwin, Sandslash, prairie dog
Odilia Blick, Doduo, giraffe
Charity Schamberger, Staryu, jackal
Shanon Ernser, Vaporeon, scorpion
Mr. Alan Reinger, Paras, antelope
Rosella Strosin, Seadra, walrus
Rudolph Kertzmann, Vulpix, louse
Mr. Aldo Reichel, Hitmonchan, tiger
Evangeline Kreiger, Pidgey, beaver
Albert Lesch, Charizard, rhinoceros
Loree Pfeffer, Kadabra, skunk
Christopher Hilpert, Lapras, bear
Raul Kihn, Persian, raccoon
Miss Jesse Braun, Farfetch'd, jackal
Mrs. Valentine Heaney, Snorlax, zebra
Lilly Fritsch, Tangela, hippopotamus
Christi Weimann, Rhyhorn, duck
Mackenzie Hodkiewicz, Bulbasaur, otter
Lyndsey VonRueden, Haunter, grasshopper
Cora Mraz, Gengar, otter
Todd Daugherty, Venomoth, serval
Genesis Sawayn, Seadra, camel
Fernande Waters, Scyther, hedgehog
Winter Kuhn, Ekans, hound
Roy Larkin, Marowak, lizard
Vanessa Homenick, Ekans, reindeer
Cindie Shields, Drowzee, dog
Cornell Schmidt, Charmander, prairie dog
Mrs. Manie Keebler, Kangaskhan, eel
Trent Kuhn, Beedrill, snake
Rich Lind, Blastoise, hedgehog
Fritz Shields, Gyarados, wolf
Carmela Feest, Weedle, beaver
Tanika Goyette, Golbat, beaver
Louie McKenzie, Lapras, eagle
Richie Walsh, Arbok, buffalo
Lakia Schulist, Dragonite, shark
Dr. Freeman Luettgen, Onix, otter
Eusebio Jacobs, Goldeen, scorpion
Vernon Barton, Eevee, ferret
Dick Boehm, Charmeleon, gnat
Nickole Hintz, Pidgeot, bee
William Gerlach, Zapdos, trout
Mellisa McDermott, Nidoking, frog
Etsuko Boyle, Flareon, hamster
Henry Balistreri PhD, Meowth, spider
Rolando Abshire, Onix, wildebeest
