Shayne Corwin III, Sandshrew, impala
Connie Bernier, Nidorino, reindeer
Refugio Zieme, Nidoran, buffalo
Jack Von Jr., Dragonite, cat
Ms. Aleta Cole, Pidgey, bear
Leigh Gaylord DDS, Farfetch'd, squirrel
Kathrin Altenwerth, Seadra, lion
Bettina Borer II, Beedrill, cheetah
Malinda Lockman, Nidorina, worm
Dimple Hauck, Gyarados, elephant
Jena Fahey III, Bellsprout, alpaca
Lucie Schaden, Kingler, fox
Hershel Padberg, Dratini, termite
Jacinto Kuphal, Mewtwo, oyster
Reinaldo Tremblay, Snorlax, cicada
Miss Tashina Gibson, Seadra, rat
Jeanett Stroman, Moltres, monkey
Cecil Hickle, Blastoise, hedgehog
Lorina Morissette, Pidgeot, mosquito
Chanda Toy, Clefairy, goose
Ms. Edgardo Grimes, Marowak, alligator
Malcolm Greenholt DVM, Rapidash, buffalo
Devin Bailey, Gengar, pug
Marquis Schimmel, Ivysaur, cicada
Monty Hoppe, Kakuna, cheetah
Lucinda Shanahan, Charizard, cattle
Ms. Fidel Grimes, Lickitung, alpaca
Mr. Jamaal Erdman, Psyduck, rabbit
Petronila Abshire DDS, Paras, guinea pig
Trinidad VonRueden, Haunter, ape
Mrs. Gregg Kshlerin, Rapidash, goat
Britteny Streich, Abra, hornet
Chauncey Marvin MD, Metapod, cicada
Jan Medhurst, Diglett, raven
Adrienne Hettinger, Pidgey, gnat
Palmira Schumm, Tentacruel, chimpanzee
Domonique Hoppe, Scyther, ant
Ms. Anissa Trantow, Marowak, manatee
Jacques Zboncak MD, Kingler, mammoth
Arnold Stanton, Poliwrath, mink
Melba Kub, Golem, termite
Illa Beer, Diglett, mink
Trey Hand, Pidgey, marten
Vernice Torphy, Bulbasaur, rabbit
Alessandra Wolf, Seadra, cod
Olen MacGyver, Victreebel, snail
Darell Kiehn, Cubone, beetle
Rosalia Klocko, Bulbasaur, yak
Mrs. Cecil Kuphal, Seadra, coyote
Fannie Deckow, Poliwrath, mosquito
