Tony Parisian, Spearow, lion
Leopoldo Collier, Parasect, walrus
Tish Hintz II, Seadra, yak
Chante Wolf, Scyther, worm
Abel Metz, Hitmonlee, beetle
Casey Waelchi, Jolteon, lion
Eugenio Turner V, Nidorino, skunk
Lessie Lesch II, Kingler, squirrel
Roxy Runolfsdottir PhD, Porygon, spider
Cleo Hackett II, Abra, raven
Oliver Weissnat, Omastar, elephant
Odis Moen III, Vileplume, camel
Cathern Altenwerth, Rattata, gnu
Mrs. Benito Mante, Mew, cattle
Bennett Nienow, Nidorina, ape
Merrill Hansen, Nidoran, rhinoceros
Tameika Prohaska, Vaporeon, sheep
Hoyt Pfeffer, Abra, grasshopper
Margaret Kilback DVM, Cloyster, donkey
Lavette Hansen, Nidoqueen, buffalo
Vernell Zulauf, Charmander, mole
Miss Norman Gibson, Tangela, pug
Karol Macejkovic, Poliwrath, goat
Clinton Hansen, Golem, minnow
Ms. Linwood Denesik, Jolteon, gnu
Ms. Erasmo Zulauf, Seadra, wolf
Abraham Schmitt, Vileplume, giraffe
Mr. Yolande Gaylord, Pidgey, frog
Manual Lang, Gastly, baboon
Dominique Romaguera, Gloom, koala
Evan White, Charmeleon, macaw
Mr. Marcelle Runte, Squirtle, hippopotamus
Guy Padberg, Venonat, mole
Eddie Wintheiser, Raichu, eagle
Leslie Reynolds, Zapdos, cheetah
Merrill Cronin, Abra, otter
Parker Blanda IV, Hitmonlee, muskrat
Hank Grant DVM, Arbok, wasp
Latrice Walsh, Primeape, elephant
Ernesto Mraz, Diglett, salmon
Ryan Luettgen, Seadra, elephant
Roderick Funk, Farfetch'd, dog
Arnulfo Fahey, Rattata, butterfly
Dr. Johnnie Roberts, Seaking, swan
Sybil Koelpin, Machop, bee
Elwood Ondricka, Dewgong, impala
Pia Legros, Vaporeon, frog
Thaddeus Schultz, Psyduck, pug
Desirae Baumbach DDS, Nidoran, marten
Ashlee Schowalter, Kangaskhan, toad
