Ryann Gleichner PhD, Jigglypuff, hamster
Marion Ledner IV, Bellsprout, frog
Claretha Skiles, Clefairy, crab
Courtney Okuneva I, Nidorina, sheep
Siobhan Zieme, Machamp, sardine
Oscar Russel, Haunter, gorilla
Eddie Mertz, Snorlax, alpaca
Ms. Mariann Raynor, Wartortle, kangaroo
Charisse Wuckert, Ditto, cattle
Helaine Medhurst, Electrode, worm
Sid Herzog, Poliwag, macaw
Leif Turcotte, Gloom, mule
Don Bechtelar, Seadra, termite
Colton Lebsack, Clefable, chinchilla
Mr. Tobie Schaefer, Blastoise, giraffe
Darnell Dach, Raichu, horse
Denae Bednar, Koffing, deer
Beau Roob, Magnemite, cockroach
Huey Abbott, Squirtle, lion
Junior Considine, Vulpix, macaw
Salvatore Green IV, Poliwrath, cockroach
Shanelle Hoeger Jr., Vileplume, horse
Shanelle Beier, Horsea, minnow
Mrs. Leonarda Goyette, Ponyta, snail
Milo Jerde, Nidoran, weasel
Moses Oberbrunner DVM, Mr. Mime, mallard
Armand Pfannerstill, Magneton, salmon
Alycia Hahn, Alakazam, toad
Horace Batz, Nidorina, beaver
Miss Cary Bosco, Mr. Mime, ant
Chrissy Pfannerstill, Staryu, minnow
Edwardo Trantow, Charmander, ape
Jane Stroman, Magneton, walrus
Vernon Ortiz, Magnemite, mosquito
Miss Annalee Wisozk, Lickitung, cod
Stanford Ullrich, Shellder, goldfish
Mr. Lesha Johnston, Pidgey, fly
Elfriede Howell, Butterfree, butterfly
Arlie Beier, Kangaskhan, sea lion
Drew Bashirian, Jynx, elephant
Douglass Braun, Gengar, bat
Preston Harvey, Kakuna, badger
Zada Jenkins V, Koffing, ox
Ara Turcotte, Haunter, dinosaur
Darwin Stiedemann V, Dugtrio, fox
Juliette Anderson, Fearow, zebra
Ilona Ernser, Meowth, lion
Dagmar Rath, Pikachu, snail
Eddie Smitham, Gloom, caribou
Bambi Considine, Magneton, tortoise
