Raymon Rippin, Kabuto, cat
Buddy Watsica, Scyther, manatee
Ashanti Blick, Jolteon, herring
Harlan Schmeler, Flareon, yak
Carina Kemmer DVM, Machamp, raven
Fritz Boehm, Horsea, cricket
Jacob Corwin, Ninetales, giraffe
Chang Bins V, Oddish, gorilla
Cathey Glover, Venomoth, muskrat
Eric Roberts, Mr. Mime, reindeer
Lillia Bernier, Venomoth, muskrat
Charis Kuvalis, Articuno, leopard
Magnolia Morissette, Eevee, alpaca
Eliseo Rutherford, Persian, hamster
Ms. Ladonna West, Nidoran, snail
Sibyl Dooley, Growlithe, crow
Lora Roberts, Tentacruel, yellowjacket
Ismael Jaskolski, Vileplume, hedgehog
Kandra Sauer, Charmeleon, lion
Otis Lockman, Venusaur, goldfish
Rachael Leannon III, Hitmonchan, prairie dog
Joseph Lubowitz, Clefairy, snail
Miss Gregg Nikolaus, Flareon, whale
Odell Lang MD, Kadabra, dinosaur
Dr. Julieta Dietrich, Eevee, llama
Mr. Pearlene Schmeler, Jigglypuff, impala
Preston Mann, Machamp, jackal
Obdulia Fritsch PhD, Persian, kangaroo
Margot Fahey, Butterfree, baboon
Marina Harber, Jigglypuff, muskrat
Miguel Kuhlman IV, Zubat, rhinoceros
Roseline Fadel, Jigglypuff, badger
Dr. Jamison Wehner, Omanyte, gerbil
Miss Vania Batz, Wartortle, yellowjacket
Miquel Daugherty, Paras, fish
Adeline Stehr, Fearow, woodchuck
Elias O'Kon, Cubone, dolphin
Edwardo Tromp, Pikachu, ox
Margarite Hauck, Butterfree, dolphin
Dwight Collins, Wigglytuff, snake
Jerrod Flatley, Ivysaur, wasp
Tobias Hilll, Lickitung, guinea pig
Emerald Roob, Haunter, fox
Loni Waters, Pidgeotto, cheetah
Hung Bauch, Pidgeotto, wallaby
Trinidad Pagac, Mewtwo, gnat
Alexia Stracke PhD, Nidoqueen, crocodile
Bradly Braun, Staryu, clam
Daina Johnson, Porygon, elephant
Kieth Macejkovic, Dewgong, fish
