Ruben Considine I, Wartortle, porcupine
Dr. Daniell Legros, Golem, jackal
Mrs. Landon Stokes, Arbok, otter
Karine Nolan, Omanyte, gerbil
Tisa Sporer, Lapras, gnat
Gilbert Marquardt, Golduck, seal
Sherita Boyle, Exeggcute, tiger
Walter Bernier, Chansey, cattle
Shane Leffler III, Arcanine, herring
Nathanial Jaskolski MD, Eevee, sardine
Edythe Roberts, Sandslash, hedgehog
Dr. Jenniffer Nitzsche, Rhydon, mole
Lemuel Rippin, Machop, dolphin
Georgiann Bahringer, Weedle, mammoth
Darrell Boehm, Charmeleon, tiger
Anastasia Lubowitz II, Omanyte, hyena
Dr. Jackie Lubowitz, Arcanine, pig
Miss Rick Treutel, Wigglytuff, llama
Mrs. Julene Bayer, Jolteon, camel
Young Rippin, Haunter, cat
Denyse Baumbach, Hitmonlee, worm
Mr. Gene Goodwin, Metapod, locust
Carole Spencer III, Scyther, gerbil
Dallas Brakus, Nidoran, oyster
Britney Ledner, Psyduck, pig
Mrs. Orval Langosh, Flareon, mink
Mr. Corrinne Langworth, Pinsir, zebra
Tyrell Cummings III, Krabby, tortoise
Willard Heidenreich, Geodude, bee
Laronda Spencer, Caterpie, rat
Anton Boehm, Tauros, elk
Letty Daniel, Grimer, salmon
Concha Kertzmann, Dragonite, mosquito
Dirk McLaughlin PhD, Articuno, camel
Georgetta Schuppe, Kabutops, macaw
Lamont Boehm, Fearow, yellowjacket
Shanti Marquardt, Ekans, mouse
Jenny Hermann Sr., Primeape, camel
Iva Spencer DVM, Vileplume, locust
Mr. Kendra Mueller, Wigglytuff, dolphin
Logan Robel, Hitmonchan, grasshopper
Carrol Witting, Parasect, hound
Dr. Sumiko Fisher, Dratini, otter
Jacob Zieme III, Pidgey, toad
Audria Davis, Dratini, cicada
Brad Mann, Tentacruel, skunk
Miss Sheri Pfannerstill, Geodude, badger
Kirstie D'Amore, Jynx, wallaby
Shirleen Hickle V, Koffing, dolphin
Miss Eric Heidenreich, Persian, duck
