Lance Bradtke, Charizard, hare
Jeni Upton, Magikarp, cicada
Fabiola Dare, Gyarados, cod
Caitlin Wolf, Drowzee, pig
Benjamin Mosciski, Zapdos, snail
Rodrigo Bogisich, Weedle, otter
Steve Kovacek Sr., Haunter, lion
Mrs. Angele Walker, Horsea, armadillo
Ian Mertz, Starmie, porcupine
Brinda Barrows II, Pidgeotto, duck
Shirley Willms, Kakuna, snake
Adan Leannon, Exeggutor, coyote
Danita Buckridge, Weezing, scorpion
Carmelo Bailey IV, Magikarp, gnu
Laurence Borer DVM, Grimer, deer
Benton Cassin DVM, Dewgong, louse
Jed Hauck, Persian, buffalo
Mrs. Corrine Hegmann, Ninetales, hippopotamus
Miss Richard Gaylord, Pidgeotto, llama
Madie Steuber, Ponyta, rabbit
Greta Nader, Kadabra, gorilla
Sol Kiehn, Mankey, elk
Catheryn Oberbrunner, Flareon, marten
Cornelius Kub, Ditto, crow
Mr. Marget Schmeler, Seel, spider
Fredric Cassin, Golduck, swan
Mr. Oren Yundt, Tentacool, macaw
Neva Larson, Horsea, crab
Lashandra Torphy, Venusaur, baboon
Laureen Walker II, Muk, cattle
Dionna Conn, Porygon, ant
Mrs. Lester Mitchell, Bellsprout, porpoise
Mavis Hilll, Ponyta, fish
Ms. Jorge Klein, Growlithe, sheep
Edward Beier, Eevee, moose
Ms. Efrain Klocko, Rhyhorn, alligator
Daron Gottlieb Jr., Blastoise, shark
Mrs. Raul Yost, Geodude, butterfly
Salina Feest Sr., Venomoth, gerbil
Cleo Schamberger, Koffing, pig
Wen Ferry, Pidgey, clam
Wilbert Willms, Fearow, mink
Luis Upton, Hypno, cat
George Huels Sr., Vileplume, lion
Samual Green, Pidgeotto, dolphin
Lesley Lowe, Blastoise, monkey
Junior O'Conner, Omastar, worm
Florene Johnson, Horsea, frog
Kenda Pfeffer, Vaporeon, skunk
Joey Lindgren, Nidoking, skunk
