Bruno Reichel, Seaking, donkey
Yadira McDermott II, Tauros, salmon
Danilo Runolfsson IV, Abra, cattle
Elina McKenzie, Eevee, locust
Gerardo Huels DVM, Cubone, hornet
Mr. Avery O'Kon, Vaporeon, cat
Lucinda McGlynn MD, Dragonair, macaw
Danny Littel I, Blastoise, beetle
Leigh Bartell, Raticate, alpaca
Arnulfo Corwin, Machop, mouse
Mrs. Normand Trantow, Bellsprout, muskrat
Valeria Maggio, Pikachu, skunk
Leonardo Bednar, Pidgey, caribou
Mr. Danae Kulas, Tentacool, salmon
Alysa Hilll, Hitmonlee, cattle
Loura Brown, Kangaskhan, crow
Mr. Michael Wisoky, Dewgong, termite
Yong Harris, Venusaur, raven
Ms. Bobette Hane, Beedrill, raven
Shad Heidenreich, Arbok, macaw
Allyson Dickinson, Krabby, antelope
Raleigh Gleason, Paras, leopard
Roderick Fisher DDS, Machop, wolf
Janel Dietrich II, Pidgeotto, raccoon
Stevie Reilly, Zapdos, ox
Fletcher Franecki, Tentacruel, eel
Valarie Walter, Pidgeotto, turtle 
Vanetta MacGyver, Bulbasaur, kangaroo
Bernard Schmitt MD, Pikachu, shark
Shirleen Bogisich, Cloyster, cicada
Mr. Marlin Hickle, Golduck, wasp
Nery MacGyver MD, Vulpix, gnu
Reggie Kuvalis, Pidgeot, chinchilla
Mrs. Herb Schamberger, Dewgong, whale
Lashaunda Ullrich, Exeggutor, bat
Elmo Feest, Ivysaur, dinosaur
Santos White DVM, Voltorb, guinea pig
Irvin Lubowitz, Gloom, beetle
Jamar Koch, Dratini, mallard
Nella Rempel, Zapdos, moose
Miss Tomoko Herman, Gloom, goldfish
Joeann Shanahan, Nidoran, raccoon
Christy Haley, Nidorina, mammoth
Lawerence Hammes, Koffing, dolphin
Alton Smitham DDS, Moltres, locust
Loyd Dietrich, Scyther, dolphin
Spring Heaney, Dodrio, clam
Demetria Kuhlman, Kangaskhan, lizard
Armando Spencer MD, Zapdos, swan
Estell Goldner, Mewtwo, elk
