Rob Abbott, Hitmonchan, koala
Guy Hand, Arbok, mink
Dr. Darron Bashirian, Krabby, tiger
Mr. Ivan Leannon, Ditto, lion
Timmy Rodriguez Sr., Graveler, cicada
Nigel Mosciski, Spearow, cod
Mr. Jed Kautzer, Sandshrew, jackal
Shawanda Gutmann II, Meowth, herring
Providencia Frami, Pinsir, goat
Mr. Marylouise Jacobson, Electabuzz, baboon
Winford Simonis I, Raichu, pig
Thora Kshlerin DVM, Kabutops, moose
Deirdre Olson Sr., Farfetch'd, rhinoceros
Vincent Wiza, Rhyhorn, koala
Al Zulauf, Primeape, gnu
Jeanette Orn, Rhyhorn, tortoise
Marleen Hagenes, Rapidash, platypus
Ira Barrows, Charizard, bear
Wesley Anderson DVM, Zubat, wasp
Roosevelt Emard, Lapras, alpaca
Minh Auer DDS, Kabuto, chimpanzee
Joesph Brown PhD, Charmander, goldfish
Starr Sanford, Hitmonlee, mosquito
Miguel Stanton, Porygon, mouse
Dr. Britni Bailey, Venusaur, raven
Lucas Greenfelder, Slowpoke, crab
Gemma Schaden Sr., Kadabra, dolphin
Vincenzo Mante, Aerodactyl, scorpion
Bailey Durgan, Growlithe, goat
Helene Okuneva, Clefairy, hyena
Jule Anderson DDS, Blastoise, badger
Emmitt Kuhn, Poliwag, hyena
Michael Lockman II, Nidorina, prairie dog
Gavin Olson, Vulpix, chimpanzee
Cristina Herman, Meowth, chinchilla
Laticia Ebert, Machamp, badger
Earl Goodwin I, Kabuto, rabbit
Roosevelt Denesik, Electrode, seal
Dr. Jonna Cormier, Flareon, armadillo
Trevor Marquardt, Ninetales, pug
Anton Schinner, Squirtle, worm
Matthew Kris, Koffing, ant
Rodrick Lakin, Gloom, clam
Lyndsay Kemmer, Ninetales, badger
Gayle Pacocha, Charmeleon, crab
Reinaldo Runolfsson, Nidoran, chimpanzee
Henry Kuhn, Articuno, tiger
Lenny Buckridge, Blastoise, leopard
Gaynell Lowe, Pikachu, baboon
Clement Daugherty III, Arbok, bee
