Bok Mayer, Snorlax, dolphin
Deja Hoppe, Golduck, zebra
Letty Orn, Sandshrew, giraffe
Hipolito Ullrich, Omanyte, leopard
Jeanie Rippin, Charmeleon, chinchilla
Velda Hickle, Jynx, toad
Charis Feil, Snorlax, snake
Kayce Fisher, Alakazam, pug
Chas Lockman IV, Gyarados, dinosaur
Jefferson Hoppe, Exeggutor, goose
Rashad Huels, Rhyhorn, cricket
Tiny Jakubowski, Rapidash, goose
Rigoberto Dickinson, Pidgey, horse
Manuel Ankunding, Fearow, locust
Launa Stiedemann, Paras, hippopotamus
Christeen Macejkovic, Diglett, macaw
Sammie Stamm, Pidgeot, grasshopper
Tricia Considine, Squirtle, gnu
Ms. Damian Muller, Dragonair, tortoise
Sang O'Conner, Articuno, koala
Chester Weber, Charmeleon, louse
Ike Kertzmann, Fearow, trout
Yong Koepp II, Rhydon, coyote
Marx Wilkinson, Krabby, spider
Mr. Carole Sawayn, Squirtle, rabbit
Shellie Quigley, Vaporeon, cockroach
Rodolfo Mayert, Articuno, chinchilla
Mackenzie Marquardt, Rattata, elephant
Laronda Bergnaum, Bellsprout, cattle
Deshawn Schimmel PhD, Magneton, ox
Lucrecia Hermiston, Shellder, butterfly
Rosario Olson, Bellsprout, mule
Anneliese Hirthe, Weedle, snail
Matt Hartmann, Rattata, bear
Aliza Weimann, Ditto, camel
Blake Muller, Venonat, fox
Vernon Mitchell, Moltres, koala
Sondra Gerlach, Rhydon, swan
Ms. Drucilla Feeney, Dodrio, skunk
Olin Turcotte, Weezing, armadillo
Jean Cormier, Magmar, seal
Carey Hand, Mr. Mime, worm
Lonnie Rau, Cubone, tortoise
Mrs. Sheldon Kihn, Nidoran, herring
Moira Emmerich, Ekans, alpaca
Madison Ruecker V, Ivysaur, hedgehog
Dee Steuber, Ditto, walrus
Alphonse Walker, Parasect, caribou
Mrs. Leigh Howe, Victreebel, pig
Tobias Lueilwitz, Ditto, llama
