Albina Schoen, Moltres, pug
Porfirio Gleason, Kingler, butterfly
Dave Lowe II, Raticate, zebra
Bertram Schneider, Moltres, llama
Nancey Pfeffer III, Tentacruel, walrus
Miss Sharee Denesik, Porygon, otter
Lyle Bernhard MD, Raticate, prairie dog
Pat Deckow, Geodude, gerbil
Hector Price, Marowak, tortoise
Darrick Bashirian, Machamp, mallard
Mr. Junita Marquardt, Exeggutor, sheep
Valentine Satterfield, Metapod, marten
Tula Gleason, Onix, fish
Mrs. Kelvin Ortiz, Graveler, goldfish
Williams Von, Cubone, salmon
Octavio Braun DVM, Tentacruel, sardine
Doug Collier DDS, Zubat, ape
George Powlowski, Krabby, salmon
Modesto Marvin, Gyarados, lizard
Mr. Raymonde O'Kon, Grimer, pig
Alvin Parker, Pidgeot, kangaroo
Imelda Rau, Goldeen, goose
Will Schaden, Mankey, llama
Debi Wehner Jr., Porygon, herring
Dr. Isreal Towne, Dodrio, camel
Orville Kessler, Jolteon, reindeer
Myron Batz, Gengar, impala
Wilton Ward, Omanyte, toad
Marcelo Prohaska, Venomoth, mole
Lon Sauer, Hitmonlee, otter
Coleen Schimmel, Pidgeot, crow
Brittaney Ziemann, Ivysaur, leopard
Dreama Lesch, Bulbasaur, cricket
Tamika Lebsack, Dratini, elephant
Carmen Von, Growlithe, guinea pig
Angelyn Thompson, Machop, cattle
Keith Huel III, Magmar, koala
Shelby Larson, Nidorino, swan
Angelique Murazik, Cloyster, eagle
Austin Langworth, Spearow, raccoon
Shaina Murphy, Geodude, scorpion
Antwan MacGyver, Nidoking, water buffalo
Ellsworth Erdman DDS, Charmeleon, dinosaur
Collen Donnelly, Squirtle, hound
Dr. Cristin Hyatt, Slowpoke, badger
Rick Hessel I, Hitmonchan, tortoise
Art Feeney, Articuno, locust
Dexter Borer, Kingler, mallard
Anh Barton, Beedrill, eel
Mrs. Concha Kertzmann, Nidorina, eagle
