Keshia Ratke, Kakuna, macaw
Titus Mertz MD, Dragonair, tortoise
Christopher Murphy, Dragonite, wildebeest
Newton Konopelski, Jynx, water buffalo
Jerrod Bogan DVM, Venusaur, lion
Raul Swaniawski, Moltres, otter
Garfield Orn, Raichu, tiger
Johnnie Shanahan, Kingler, gnu
Sunni Morar IV, Pidgeotto, skunk
Yen Kiehn, Arbok, gorilla
Austin Ryan, Poliwrath, antelope
Dr. Galen Cormier, Magneton, beaver
Retha Sauer, Tauros, hornet
Amalia Wisozk, Doduo, moose
Vernie Stiedemann, Bulbasaur, scorpion
Abbey Rolfson, Caterpie, pug
Lucien Reilly, Farfetch'd, badger
Ignacio Gutmann, Charmeleon, tiger
Jonah Smith, Ivysaur, mole
Fran Hauck, Dragonite, rhinoceros
Ahmed Cormier, Moltres, raccoon
Anjelica Ullrich, Kadabra, lizard
Shawna Hermann IV, Weedle, walrus
Mrs. Domingo Kunze, Muk, grasshopper
Guadalupe Barrows, Beedrill, weasel
Agustin Lind, Hitmonlee, sea lion
Cornelius Blanda, Drowzee, hyena
Ms. Lisandra Schiller, Dragonite, sea lion
Damian MacGyver, Voltorb, ant
Wes Pfeffer, Cloyster, goldfish
Michale Rice, Poliwrath, wallaby
Mrs. Abe Runolfsson, Starmie, locust
Ezequiel Walker, Psyduck, pig
Damion Marvin V, Kakuna, camel
Louie Langosh III, Vaporeon, porpoise
Milford Roob, Mew, louse
Bobette Monahan, Dewgong, wasp
Mr. Cruz Weber, Mankey, whale
Leila Adams, Paras, frog
Emery Cole, Clefairy, hippopotamus
Isaias Becker, Dewgong, lizard
Kermit Dickens, Paras, ant
Richie Cormier Jr., Dewgong, mosquito
Miss Denver Torp, Goldeen, badger
Geraldine Lakin, Golduck, rat
Dorsey Bradtke, Scyther, ant
Queenie Volkman, Cloyster, pug
Mr. Clint Harber, Kangaskhan, woodchuck
Amparo Medhurst, Pikachu, hare
Mrs. Jonathon Crona, Nidoran, impala
