Lorenzo Padberg, Tauros, cicada
Larita Gerlach, Cloyster, ant
Wiley Bode, Weepinbell, ox
Novella Deckow, Victreebel, crow
Jaqueline Lowe, Doduo, dolphin
Nicolas Lebsack II, Golduck, bee
Sharonda Rohan PhD, Cubone, herring
Mr. Tommy Balistreri, Dragonair, tortoise
Dorian Zemlak, Pidgey, wallaby
Franklyn Conn Jr., Raticate, zebra
Ms. Rosario Volkman, Venomoth, cat
Wilfred Feest, Slowbro, camel
Edward Predovic, Dragonair, raccoon
Hildegard Simonis, Pidgeotto, yak
Ulysses Hirthe Jr., Meowth, jackal
Christin Altenwerth, Moltres, tiger
Phoebe Connelly, Magikarp, dog
Mr. Lesley Abbott, Gloom, squirrel
Bethel Stehr, Dodrio, manatee
Shona Hane, Golbat, mosquito
Hoa Hane, Nidorina, porcupine
Dr. Man Keeling, Bulbasaur, swan
Marvin Hermann DDS, Hypno, deer
Thomasine Torp, Kadabra, rat
Mr. Edie Wiza, Snorlax, swan
Dr. Jame Hickle, Ninetales, swan
Mr. Bert Rogahn, Nidoking, seal
Billy Schultz, Moltres, spider
Mary Nitzsche, Pidgeotto, mouse
Miguelina Walter PhD, Nidorino, platypus
Sam Gleason, Wartortle, elephant
Mr. Ashanti Pfeffer, Hypno, crow
Moira Hessel II, Meowth, deer
Dr. Brett Schinner, Mr. Mime, platypus
Valorie Parisian, Lapras, frog
Georgeann Mraz, Clefable, elk
Houston Hayes Sr., Kangaskhan, kangaroo
Ms. Shery Wiza, Magneton, elephant
Jude Bradtke, Caterpie, whale
Jennifer Armstrong, Oddish, marten
Ms. Hope Heaney, Hitmonchan, rat
Carina Medhurst, Kakuna, louse
Marjorie Bruen, Graveler, swan
Richard Kilback, Staryu, reindeer
Mr. Tangela Nader, Charizard, dinosaur
Bernard Conroy, Weepinbell, guinea pig
Chadwick Mayer, Nidoqueen, beetle
Dr. Michael Flatley, Machop, woodchuck
Margret Frami, Poliwag, hornet
Charolette Kiehn, Onix, badger
