Quinn Sawayn, Vileplume, tortoise
Amalia Maggio, Wartortle, gnat
Kesha Ward, Gastly, caribou
Gaylord Wintheiser Jr., Poliwhirl, tortoise
Margaretta Wuckert, Mew, tortoise
Grant Toy, Magikarp, hedgehog
Faviola Grimes, Blastoise, locust
Dr. Shirleen Huel, Parasect, sheep
Mr. Rosendo Hessel, Krabby, goose
Demarcus Kassulke, Cubone, impala
Griselda Durgan, Snorlax, yellowjacket
Alycia Swaniawski, Kabuto, wolf
Neely Kub V, Pidgey, bat
Lowell Beahan, Pidgeot, sea lion
Vernon Conn, Drowzee, yellowjacket
Mr. Alene Herman, Muk, mink
Deidre Wisoky, Dugtrio, hyena
Dan Bosco Jr., Hitmonlee, cockroach
Drew Greenholt, Kabuto, squirrel
Elouise Casper III, Geodude, goose
Shirley Lindgren, Gyarados, oyster
Ressie Rohan, Electabuzz, fish
Francisco Schmeler, Ditto, hedgehog
Dulcie Bins, Rattata, wombat
Kieth Wiza, Cloyster, llama
Dante Schuster, Kadabra, bee
Michale Becker, Kangaskhan, yellowjacket
Christopher Mitchell PhD, Raticate, reindeer
Derick Botsford, Dugtrio, armadillo
Eula Weber, Dratini, mink
Laurence Parker, Mew, hyena
Maximo Bernier, Slowbro, rat
Jerry Becker, Chansey, pug
Mary Predovic, Marowak, walrus
Mrs. Rolanda Hills, Lapras, platypus
Eloy Hermann, Venonat, water buffalo
Carolina Klocko DVM, Spearow, jackal
Kazuko Brekke, Gengar, spider
Pricilla Cremin, Fearow, hamster
Isidro Haley, Tangela, minnow
Cara Strosin, Machamp, pug
Ms. Corey Grant, Rattata, chimpanzee
Iesha Conn, Mew, crocodile
Hyman Walker DDS, Diglett, bat
Azzie Weissnat, Arbok, mosquito
Gilma Yundt, Eevee, buffalo
Tama Langosh, Farfetch'd, oyster
Josue Zemlak, Mr. Mime, caribou
Huong Pacocha, Jolteon, goldfish
Carolyne Runolfsson, Raichu, porpoise
