Shalanda Kuhlman, Squirtle, dog
Walton Quitzon, Slowbro, armadillo
Fredrick McKenzie, Vaporeon, pug
Lottie Schaden, Grimer, jackal
Arron Dietrich, Paras, llama
Julius Konopelski, Persian, tortoise
Argelia Morar, Dragonite, alpaca
Robert Little, Goldeen, wallaby
Maryam Frami MD, Kakuna, pug
Jonah Sanford IV, Starmie, hyena
Lannie Frami, Horsea, hornet
Ozzie Sawayn, Fearow, cod
Vince Medhurst, Golbat, hippopotamus
Mr. Mariela Hane, Slowbro, locust
Quinn Ryan MD, Nidorina, hippopotamus
Dr. Alia Price, Wartortle, raven
Marc Predovic, Nidoqueen, otter
Gregory Schinner III, Doduo, rat
Deena Corkery, Magikarp, louse
Shea King Jr., Nidoran, dog
Margrett Schneider, Golduck, marten
Tamekia Schuster IV, Nidoran, mallard
Mrs. Jose Wilderman, Venusaur, koala
Mr. Loren Russel, Nidorina, fly
Ami Torp, Metapod, hippopotamus
Veronica Wolff II, Tangela, squirrel
Virgina Glover, Kingler, impala
Shemika Greenholt, Mew, louse
Dr. Earline Rutherford, Chansey, seal
Mr. Jesus Swift, Hypno, whale
Argentina D'Amore, Rhyhorn, mule
Ai Wuckert, Omastar, platypus
Royce Hackett, Jynx, yak
Kenisha Lindgren III, Kangaskhan, hound
Maisie Boyle MD, Psyduck, lion
Carmelina Veum, Dugtrio, minnow
Ms. Valentine Parisian, Tangela, mole
Colleen Schuster, Jolteon, camel
Ms. Earnestine Brakus, Charmander, wildebeest
Ms. Floyd Waters, Gastly, herring
Robin Collins, Alakazam, mammoth
Cammy Sipes II, Dragonite, otter
Dennise Cummings, Dodrio, grasshopper
Dr. Marybelle Waters, Seaking, mink
Lucius Tremblay Sr., Wigglytuff, tiger
Danyell Legros, Gastly, beetle
Elke Stanton, Cloyster, fox
Brandee Terry, Ekans, louse
Maye Abernathy I, Wartortle, cockroach
Merrill Windler, Haunter, wolf
