Ms. Britt Conn, Weepinbell, crab
Sueann Crooks V, Koffing, platypus
Elouise Stamm, Kabutops, yellowjacket
Chelsie Schaefer, Nidorino, macaw
Jesse Heller, Mankey, gorilla
Mr. Arden Thiel, Graveler, badger
Mr. Tyrell Boehm, Squirtle, mule
Dacia Barrows, Nidoqueen, gnat
Oscar Crooks, Beedrill, alligator
Erick Strosin, Tentacool, goat
Shawn Rogahn, Charmeleon, platypus
Ms. Derick Wisozk, Kabutops, weasel
Candance Glover, Mewtwo, spider
Lamonica Jacobs, Nidoran, beaver
Matthew Runolfsson MD, Golem, scorpion
Carey Schamberger, Hitmonchan, kangaroo
Gordon Renner, Magikarp, raven
Rubin Mayer PhD, Wartortle, fish
Glen Reilly, Venomoth, lizard
Orlando Wisozk, Venusaur, hamster
Fredrick Mayer PhD, Dewgong, buffalo
Mrs. Annmarie Hammes, Slowpoke, koala
Miss Ernie Boyle, Kabutops, guinea pig
Trinidad Kozey, Onix, porpoise
Vida Breitenberg, Muk, mouse
Perla Bergstrom, Abra, gnu
Larraine Harvey, Hitmonlee, oyster
Ms. Adolph Greenfelder, Poliwhirl, badger
Miss Tamela Schmitt, Venusaur, moose
Mechelle Gleichner MD, Golem, chimpanzee
Julius Simonis I, Kadabra, clam
Mr. Daisy D'Amore, Gastly, horse
Frederic Goodwin, Machoke, manatee
Nigel Quitzon, Moltres, eagle
Darrin Macejkovic, Kabutops, walrus
Kory Kovacek PhD, Beedrill, leopard
Milton Russel, Electrode, beaver
Ranee Bode, Machop, beetle
Dwain Casper MD, Wartortle, hippopotamus
Faustino Conn Jr., Shellder, yak
Clair Hand, Kabuto, gerbil
Dr. Deena Kuhn, Exeggutor, raven
Jocelyn Ferry, Arbok, wallaby
Debera Buckridge, Magmar, tiger
Yolande Powlowski, Tauros, mule
Abram Sipes I, Machamp, rhinoceros
Adriana Kunze, Pidgey, squirrel
Wendolyn Connelly, Gengar, pug
Kelley Dach, Kabuto, skunk
Catarina Johnson, Dratini, cheetah
