Verda Crona, Mankey, beetle
Renetta Kassulke, Abra, wolf
Griselda Klein, Hitmonlee, fish
Brittanie Kreiger, Haunter, duck
Mr. Jennell Koss, Nidorina, deer
Blaine Grimes, Dewgong, yellowjacket
Evette Romaguera, Cubone, serval
Everett Kirlin Jr., Bulbasaur, jackal
Nicholas Jakubowski, Electrode, macaw
Mozella Rempel, Pidgeotto, monkey
Barbie Tromp, Tauros, mole
Brittanie Cronin, Oddish, dinosaur
Ms. Alysa Zieme, Poliwhirl, mammoth
Maxine Hoeger, Poliwrath, llama
Mr. Antwan O'Conner, Haunter, camel
Forest Willms, Zubat, shark
Mrs. Lora Mann, Lickitung, leopard
Grady Jerde, Venonat, seal
Marcia Emmerich V, Venonat, cheetah
Darren King, Fearow, zebra
Harriett Collier, Caterpie, coyote
Hans Beer, Krabby, mouse
Leigha Ledner, Starmie, water buffalo
Sulema O'Reilly, Ditto, alpaca
Merrill McDermott, Gengar, mallard
Tracy Ryan, Poliwag, cricket
Cole Lesch, Rapidash, kangaroo
Abbey Goyette MD, Aerodactyl, elephant
Latasha Zulauf, Weepinbell, porcupine
Oswaldo Windler, Staryu, snail
Sylvester Sawayn, Dewgong, leopard
Deangelo Kunde, Machop, porpoise
Ms. Antonio Tillman, Raichu, cricket
Colene Marquardt, Jynx, crow
Roland Ziemann, Paras, eagle
Russell Greenfelder, Tentacool, water buffalo
Neal Vandervort DVM, Venusaur, donkey
Major Pouros, Bulbasaur, duck
Leon Ondricka, Eevee, eel
Mrs. Donald Osinski, Chansey, porcupine
Miranda O'Conner, Magnemite, guinea pig
Aida West, Nidoran, gorilla
Twila Fahey, Rapidash, giraffe
Porfirio Lynch MD, Omanyte, gnu
Glynis Kris, Weezing, sea lion
Austin Marks Sr., Magneton, wombat
Ms. Lelia Kunze, Kabutops, serval
Miss Kylie Murphy, Weedle, alpaca
Kelsey Gaylord, Poliwag, giraffe
Issac Schuster, Kabutops, chimpanzee
