Antoine Corwin, Doduo, panda
Bridgett Krajcik, Dratini, clam
Whitney Dietrich, Krabby, sardine
Roger Hermann, Pinsir, raccoon
Terina Lockman, Farfetch'd, goose
Trent Ritchie Sr., Kabuto, yak
Dr. Chester O'Keefe, Magnemite, cod
My Jacobson, Kabutops, woodchuck
Zane Carter, Moltres, deer
Reatha Corwin, Tentacruel, buffalo
Gertude Witting, Cloyster, skunk
Ariel Cremin, Dragonite, swan
Arden Treutel, Magnemite, walrus
Desirae Durgan, Bellsprout, termite
Donnell Schmeler, Nidorina, locust
Awilda Kozey, Dragonite, otter
Josef Wunsch, Pidgeotto, worm
Bebe Bergnaum, Diglett, rat
Mrs. Wyatt Kuhn, Meowth, shark
Russ Jast, Clefable, marten
Nick Haley, Gyarados, fox
Dr. Kendrick Littel, Muk, alpaca
Granville Cassin, Ditto, gnat
Lovie Boehm DVM, Vulpix, kangaroo
Miss Lyn Walker, Mr. Mime, kangaroo
Tanja Feeney, Vileplume, locust
Armando Ziemann, Poliwag, weasel
Ms. Jetta D'Amore, Mankey, cicada
Forrest Feeney, Poliwag, mule
Marcel Kohler, Articuno, deer
Jack Ryan, Jynx, dinosaur
Carmen Kohler, Electabuzz, cockroach
Curt Schulist, Nidoran, cockroach
Librada Ondricka, Pinsir, swan
Whitney Stoltenberg, Dodrio, manatee
Nathan Rippin, Butterfree, mouse
Joan Mraz, Hitmonchan, gerbil
Mrs. Jay Muller, Omanyte, hippopotamus
Millard Schmitt, Voltorb, bat
Neva Lind, Farfetch'd, tortoise
Brad King DVM, Onix, alligator
Kayla Schulist, Clefable, porpoise
Alvin Quitzon Sr., Metapod, reindeer
Evelia Larson, Arbok, gnu
Shery Champlin, Cubone, lion
Larissa Oberbrunner II, Lapras, horse
Richard Schoen, Mewtwo, muskrat
Vannessa Fisher, Onix, grasshopper
Neville Johnson, Clefable, marten
Amos Lebsack DDS, Hitmonlee, herring
