Nathanael Sawayn, Zubat, dog
Marcel Graham, Oddish, dolphin
Elisabeth Leannon I, Seel, clam
Gussie Grady, Kabuto, lizard
Chelsie Bernhard Sr., Ekans, panda
Divina Cassin III, Caterpie, hedgehog
Jacki Pouros, Arbok, snake
Jennefer Bartoletti, Dragonair, scorpion
Dennis Runte, Golem, duck
Cassy Gaylord, Zubat, mammoth
Mr. Lise Breitenberg, Electrode, pig
Bebe Barton, Butterfree, alligator
Mrs. Ira Runolfsdottir, Seaking, yak
Althea Leannon, Dragonite, clam
Fatima Harber, Shellder, trout
Dollie Walsh, Rhyhorn, hippopotamus
Shea Ryan, Abra, clam
Angella Renner, Caterpie, monkey
Rebeca Volkman V, Clefairy, walrus
Len Roob, Moltres, dinosaur
Helaine Connelly, Hitmonlee, crocodile
Rolland Denesik, Scyther, weasel
Lela Hodkiewicz, Raticate, mouse
Antoinette Herman, Jigglypuff, minnow
Tracey Blanda, Weezing, dinosaur
Julius Crona, Bulbasaur, kangaroo
Jc Huel, Abra, wasp
Lynne Lesch, Kingler, crocodile
Clair Shanahan, Kingler, dog
Susanne Pacocha, Hypno, cod
Marcel Baumbach, Dratini, beaver
Ollie Stehr, Gyarados, eel
Gussie Zboncak, Golem, moose
Thomasena Reynolds, Tentacruel, whale
Luba Morar, Pidgey, rabbit
Danelle Stokes, Machop, elk
Lucille Fay, Clefairy, mammoth
Oren Kuhlman, Dodrio, baboon
Alfonso McKenzie Jr., Raticate, trout
Kenneth Herman, Kakuna, eel
Taneka Ondricka, Weedle, muskrat
Dean Walter, Snorlax, antelope
Dr. Ena Aufderhar, Poliwrath, hound
Tommy Miller, Poliwrath, sheep
Henry Gutmann, Goldeen, platypus
Domingo Torphy, Mewtwo, salmon
Ms. Rolande Robel, Magneton, hippopotamus
Londa Streich, Exeggcute, alpaca
Howard Medhurst, Zapdos, skunk
Miles Harris, Pikachu, fly
