Dinorah Mann, Butterfree, hornet
Mr. Nguyet Hirthe, Ivysaur, hornet
Dr. Lonny Koelpin, Scyther, marten
Candi Hermiston, Omastar, gnu
Ms. Felix Reynolds, Exeggutor, eagle
Ms. Georgann Schuppe, Golduck, seal
Song Windler, Mewtwo, sheep
Dusty Cole MD, Jigglypuff, cod
Sonny Gleichner, Butterfree, mouse
Freddie Gerlach, Kakuna, armadillo
Otis Spencer, Tentacool, pug
Christoper Ortiz, Ditto, bee
Melissia Schimmel, Ivysaur, goose
Lorilee Funk, Persian, manatee
Leroy Wintheiser, Vileplume, tortoise
Russel Mraz, Growlithe, crocodile
Dr. Clare Schmitt, Rhydon, rat
Grover Gaylord PhD, Slowbro, frog
Molly DuBuque, Articuno, mosquito
Mrs. Olen Miller, Clefairy, jellyfish
Miss Cathie Gleichner, Electabuzz, marten
Tory Morissette, Machoke, wallaby
Jackson Monahan, Kangaskhan, salmon
Kasey Rempel, Clefairy, elk
Nathanael Mosciski, Sandslash, pig
Tasia Wintheiser, Dragonair, wombat
Pandora Brekke, Wartortle, minnow
Ken Gutmann, Cloyster, jackal
Tenisha O'Keefe, Marowak, porpoise
Granville Kohler I, Raichu, squirrel
Merissa Johnston, Kangaskhan, porcupine
Guy Schmitt, Kabuto, gnu
Dr. Cori West, Kabuto, mallard
Stacey Rohan, Ponyta, walrus
Lindsay Beatty, Kabuto, porpoise
Janee Bednar, Onix, clam
Donte Johnson II, Tentacool, goat
Lekisha Denesik, Flareon, mole
Maurice Russel, Hitmonlee, koala
Cristopher Hills, Butterfree, chimpanzee
Kristel Wiegand, Vulpix, guinea pig
Vennie Kozey, Electabuzz, donkey
Codi Schumm, Sandslash, rhinoceros
Kandis Buckridge, Zubat, panda
Mathilde Kunde DDS, Alakazam, sardine
Earl Lindgren, Pidgeotto, gorilla
Darwin Pfeffer, Starmie, rabbit
Silas Rau, Goldeen, termite
Dacia Swaniawski, Jynx, worm
Ms. Mitchel Beer, Cloyster, cheetah
