Laure Schultz, Machamp, lizard
Ying Krajcik, Sandslash, otter
Ms. Andres Rippin, Cubone, muskrat
Ms. Enrique Reichel, Nidoqueen, raccoon
Greta Lind, Seadra, crocodile
Marc Ritchie, Venomoth, skunk
Tessie Donnelly, Victreebel, prairie dog
Fallon Frami, Machoke, manatee
Jutta Lehner, Nidoran, mallard
Sherlene Kub, Sandshrew, pig
Otto Fisher, Tentacruel, hamster
Malcolm Mraz MD, Squirtle, armadillo
Dortha Botsford Sr., Mew, bee
Mr. Adelina Steuber, Dodrio, oyster
Dr. Virgen Anderson, Exeggutor, yak
Jorge Mitchell, Flareon, raven
Osvaldo Mante I, Jolteon, baboon
Connie Kozey, Marowak, trout
Denver Hamill, Jolteon, macaw
Chung Morar, Moltres, yellowjacket
Mr. Derek Johnston, Exeggcute, water buffalo
Abbey Reynolds, Alakazam, seal
Loraine Heller, Flareon, hamster
Flor Ernser, Koffing, turtle 
Janean Thiel, Exeggcute, manatee
Orlando Langworth MD, Shellder, muskrat
Mercy Thiel DDS, Hypno, fly
Orpha Bogisich, Electrode, fox
Robin Spencer, Growlithe, armadillo
Marcelo Vandervort, Poliwag, mallard
Elenora Shanahan, Growlithe, raven
Dr. Shiloh Mills, Golbat, baboon
Donald Wintheiser, Parasect, dolphin
Miss Judson Kassulke, Electabuzz, rhinoceros
Miss Erick Zulauf, Bulbasaur, jellyfish
Lavon Stracke, Nidorino, water buffalo
Archie Tremblay, Ekans, armadillo
Alberto Brekke, Psyduck, hamster
Ms. Luetta MacGyver, Koffing, dog
Tanja Fahey, Cubone, whale
Young Braun DDS, Dewgong, hedgehog
Lewis Skiles II, Psyduck, dolphin
Robin Goyette, Golduck, kangaroo
Carlton Ebert, Jynx, whale
Kyoko Pfannerstill, Poliwrath, worm
Mr. Felicia Marquardt, Rhydon, ape
Judson Effertz, Goldeen, ferret
Karoline Rutherford, Zubat, donkey
Ulrike Sporer, Butterfree, crocodile
Dr. Millie Jast, Tentacruel, hamster
