Isaac Dare, Hypno, cheetah
Mr. Garland Mitchell, Mankey, hornet
Dr. Lazaro Oberbrunner, Golem, elephant
Dr. Norine Abshire, Victreebel, chimpanzee
Ms. Artie Hoppe, Drowzee, cheetah
Jared Waelchi, Tentacruel, caribou
Harold Cartwright, Dragonite, fly
Homer Kozey, Zapdos, frog
Mrs. Milton Kemmer, Blastoise, chinchilla
Truman Dibbert, Lickitung, tiger
Ms. Davis Will, Bulbasaur, eel
Miss Charline Lockman, Mankey, walrus
Dina Bernier, Charmander, baboon
Vivienne Shanahan, Cubone, fish
Magen Trantow, Lapras, frog
Maryellen Fay, Grimer, baboon
Mel Schuster, Caterpie, cricket
Milton Marquardt, Squirtle, llama
Ms. Mara Stanton, Dugtrio, locust
Bertram O'Conner, Vileplume, yak
Almeta Hackett, Weedle, wombat
Jackie Botsford, Marowak, sardine
Seymour Dibbert, Krabby, fish
Cris Sipes, Kadabra, worm
Mrs. Brent White, Growlithe, cattle
Alan Mueller Jr., Pidgeotto, tiger
Murray Volkman, Mankey, alpaca
Charles Langosh, Nidorino, turtle 
Latrisha Weissnat DDS, Krabby, hound
April Bahringer, Vaporeon, platypus
Kareem Glover, Arbok, dog
Daniel Stracke, Goldeen, monkey
Jacqualine Predovic, Venonat, gerbil
Wilber Hilpert, Rhydon, crocodile
Mrs. Rafaela Ratke, Jolteon, eagle
Orpha Olson, Geodude, walrus
Lorretta Ryan Jr., Charizard, alpaca
Elba Skiles Sr., Pikachu, serval
Florentino Collins, Porygon, macaw
Francis Feeney, Onix, minnow
Anglea Lueilwitz, Marowak, turtle 
Antoine Goodwin, Jolteon, prairie dog
Gidget Ernser, Voltorb, spider
Delinda Schuster, Charmeleon, eagle
Carl Quitzon, Blastoise, hound
Bruno Schneider, Nidoqueen, cricket
Karin Osinski V, Sandslash, woodchuck
Hassie Homenick, Vileplume, cattle
Bennie Powlowski, Cubone, fly
Dick Senger, Kakuna, camel
