Miss Chuck Rau, Mr. Mime, impala
Tracy Rowe MD, Tentacool, trout
Geralyn Mertz, Muk, wombat
Tayna O'Kon II, Diglett, giraffe
Cristin Hilll, Charizard, ant
Rocio Orn, Oddish, panda
King Zemlak, Machoke, koala
Henry Lakin, Slowpoke, spider
Hosea Altenwerth, Mankey, crow
Karoline Mohr DDS, Rhydon, mallard
Linwood Doyle, Bulbasaur, chimpanzee
Greg Zieme, Nidoran, rabbit
Britt Pacocha, Abra, rhinoceros
Dania Nitzsche, Venusaur, trout
Juan Kohler, Pidgey, ant
Miss Erick Schamberger, Zapdos, crow
Willie Breitenberg II, Gengar, manatee
Lachelle Carter, Nidoran, gnu
Milan Fahey, Oddish, fish
Ms. Laverne Turcotte, Rapidash, cattle
Georgette Bechtelar, Tentacruel, clam
Garrett Abshire, Cubone, dog
Jacques Adams, Venonat, impala
Emmett Treutel, Arbok, crow
Eli Hegmann, Weedle, snake
Ms. Clyde Kunze, Kingler, macaw
Obdulia Turner, Electabuzz, ape
Alvin Hartmann Sr., Tentacruel, crow
Lindsey Erdman, Bulbasaur, gerbil
Charmain Mueller, Haunter, rhinoceros
Rosina Keeling, Starmie, serval
Joaquin Wiegand, Marowak, gnat
Kira Rippin, Hitmonchan, sardine
Beau Mosciski, Kakuna, antelope
Mr. Colton McGlynn, Mew, hound
Jarod Casper, Dewgong, snake
Gaynell Ferry, Zubat, snake
Valeria Douglas, Vileplume, prairie dog
Leandra Farrell, Onix, wildebeest
Dr. Jamar Reilly, Wartortle, grasshopper
Carl Satterfield II, Golem, mosquito
Carmine Farrell, Electrode, cheetah
Sharri Batz, Pikachu, pug
Erwin Schmeler, Staryu, giraffe
Leonila Lesch, Tangela, deer
Nichole Predovic, Gastly, raven
Katherina Hackett, Marowak, ape
Erin Mosciski III, Koffing, panda
Mr. Ahmad Kulas, Machamp, gnat
Freddie Vandervort, Eevee, donkey
