Chad Ernser Sr., Dewgong, mammoth
Bernadine Murphy, Porygon, ox
Douglas Hamill, Psyduck, porcupine
Shemeka Pouros, Pikachu, wolf
Mr. Brock Bode, Scyther, elk
Almeda Schmitt, Nidoking, coyote
Danille Hilpert, Dugtrio, cricket
Bryce Durgan, Metapod, fox
Otha Ernser, Seaking, prairie dog
Gennie Rogahn, Vulpix, grasshopper
Elayne Langosh DVM, Kabutops, jackal
Ms. Alta Schiller, Venomoth, mallard
Kassie Waters Jr., Farfetch'd, whale
Thresa Hammes, Metapod, walrus
Roma Hermiston, Pidgey, platypus
Ms. Marlin Howell, Vulpix, worm
Ms. Sybil Corkery, Nidoran, sardine
Ali Abernathy, Wartortle, raccoon
Trisha Schoen II, Pinsir, giraffe
Elodia Ullrich, Venusaur, hyena
Mr. Sherise Feil, Porygon, minnow
Kim Brekke II, Machamp, marten
Miss Karima Baumbach, Exeggcute, mallard
Dr. Hester Wiegand, Clefairy, koala
Nathan Witting, Slowpoke, ox
Mrs. Margaret Schaefer, Electabuzz, louse
Dr. Ramiro Flatley, Pinsir, cockroach
Kurtis Considine, Metapod, zebra
Mr. Nancee Welch, Raticate, yak
Timmy Bergnaum, Poliwrath, muskrat
Judi Grant, Geodude, spider
Donnette Klein, Kabutops, ox
Dreama Stokes, Seaking, muskrat
Maisha Metz, Sandshrew, salmon
Laurence Schuster, Clefairy, locust
Delora Balistreri MD, Blastoise, elk
Freida Altenwerth II, Graveler, tortoise
Floyd Emard, Pidgeotto, wasp
Melodie Hilll, Flareon, macaw
Cristina Beatty I, Pikachu, fox
Dr. Kenneth Langworth, Poliwhirl, alpaca
Retha Watsica, Snorlax, goose
Shanti Blanda II, Chansey, mule
Sylvie Dickinson, Spearow, fly
Rubie Barton, Dugtrio, cod
Sidney Bartell, Jigglypuff, bee
Aaron Russel, Graveler, turtle 
Lucretia Ebert, Machop, yellowjacket
Theola Ryan, Bulbasaur, dog
Mindy Altenwerth, Jigglypuff, dog
