Joaquina Kuvalis, Voltorb, lizard
Dr. Chang Hansen, Machop, snake
Reynaldo Gutkowski, Bellsprout, koala
Lamonica Weimann, Ditto, bee
Dr. Penni Bode, Golduck, macaw
Lou Franecki, Gloom, panda
Jesus Bednar, Persian, rat
Chase Conn PhD, Golduck, sardine
Rudolph Cormier, Mr. Mime, woodchuck
Lola Leuschke, Snorlax, swan
Dr. Jefferey Robel, Weepinbell, badger
Delicia Cummings IV, Poliwhirl, sardine
Melani Douglas I, Poliwhirl, camel
Miss Sharilyn Ortiz, Poliwag, dinosaur
Tangela Runolfsdottir IV, Krabby, deer
Bernita Barton, Poliwhirl, wasp
Gil Terry, Butterfree, elk
Pete Zulauf, Ditto, spider
Mrs. Beverley Willms, Sandslash, fly
Leland Konopelski, Mr. Mime, prairie dog
Jeffry Davis, Aerodactyl, hornet
Ms. Lorean Koepp, Diglett, ape
Aldo Carter, Meowth, shark
Steven Langworth, Seel, cheetah
Margarito Lubowitz MD, Goldeen, ape
Mr. Marina Kassulke, Bellsprout, toad
Natalie Hegmann, Tauros, snail
Sherri Dickinson PhD, Machoke, sea lion
Yang Hagenes, Articuno, jellyfish
Vicky Wisoky, Nidoran, hornet
Enid Orn, Cloyster, cattle
Mrs. Nenita Weber, Haunter, antelope
Mr. Jefferson Ward, Zubat, serval
Modesto Kuhn Sr., Weezing, mule
Mr. Ned Parker, Gengar, wasp
Ilona Gulgowski III, Machamp, squirrel
Nicolas Herzog, Rapidash, hamster
Neva McLaughlin, Oddish, clam
Gregorio Gerhold PhD, Dewgong, dolphin
Frederic Erdman, Persian, frog
Asa Labadie, Dugtrio, mosquito
Abigail Heller, Exeggcute, bee
Ambrose Russel, Hitmonlee, mule
Miss Carri Conn, Weepinbell, hamster
Flavia Dach, Machop, wildebeest
Ronnie Boyer DVM, Vileplume, mule
Lamar Stokes, Weedle, rabbit
Royce Treutel IV, Gyarados, wasp
Simon Ritchie, Slowpoke, grasshopper
Freeman Bayer, Seadra, rabbit
