Mellie Zboncak MD, Golduck, duck
Donald Adams, Weezing, wallaby
Hollis Daugherty, Tentacool, antelope
Robby Haag, Psyduck, donkey
Tony Schowalter, Cubone, crab
Mr. Mary Runte, Jigglypuff, mole
Dion O'Keefe, Ponyta, porpoise
Herman Lakin, Snorlax, elephant
Debi Crooks I, Vaporeon, raccoon
Rigoberto Padberg, Snorlax, turtle 
Jared Schmidt, Venusaur, deer
Carmelita Jones, Nidorino, marten
Kendal Swaniawski V, Magnemite, wallaby
Mrs. Shane Metz, Psyduck, lizard
Mr. Luann Rowe, Nidoran, snail
Albertine Gottlieb, Starmie, seal
Marcellus Ruecker I, Poliwag, jackal
Elliott Walsh, Marowak, lizard
Broderick Koepp, Mankey, tiger
Melania Metz, Voltorb, hedgehog
Catrice Tremblay, Kangaskhan, badger
Lyman Haley, Golduck, squirrel
Jaimee Leuschke, Electrode, lion
Latina Dickens V, Nidoking, cattle
Fleta Hettinger III, Omanyte, yellowjacket
Jose O'Keefe, Bulbasaur, dog
Ms. Claris Daniel, Sandslash, koala
Rex Frami Jr., Arcanine, leopard
Tula Willms, Bulbasaur, ape
Noel Williamson, Diglett, mammoth
Dr. Charlsie Boehm, Metapod, walrus
Anya Auer, Jolteon, chimpanzee
Mervin Quitzon, Charizard, manatee
Herb Gibson, Caterpie, scorpion
Giuseppina Kiehn, Snorlax, hedgehog
Lester Luettgen Jr., Wartortle, impala
Ginny Marquardt, Paras, seal
Mrs. Verlie Moore, Growlithe, hound
Glinda Yost Jr., Venonat, horse
Saran Collins, Slowbro, seal
Miss Renay Tromp, Oddish, cheetah
Leonel Simonis III, Sandslash, caribou
Verena Simonis, Wigglytuff, cat
Mrs. Horace Wehner, Haunter, water buffalo
Lourie Fritsch, Mew, toad
Ellen Metz Sr., Poliwhirl, cicada
Jacquelynn O'Keefe DVM, Pinsir, shark
Deeann Mitchell, Pinsir, hyena
Hassie Cartwright, Ekans, hippopotamus
Mrs. Roderick Dibbert, Ekans, rabbit
