Julissa Daniel, Graveler, koala
Elvira Kling, Aerodactyl, mink
Scotty Flatley, Dodrio, tortoise
Ms. Vashti Ernser, Staryu, hamster
Mr. Merideth Nitzsche, Pikachu, otter
Jeanine Conn, Kangaskhan, reindeer
Rashad Jones, Wigglytuff, grasshopper
Shera Predovic IV, Vulpix, cheetah
Virgil Tillman, Kingler, goose
Horace Lowe IV, Mewtwo, pig
Darwin Haley, Omanyte, hippopotamus
Dora Schmitt, Pinsir, pig
Freeda Kihn, Ekans, clam
Curtis Murazik, Grimer, snail
Herschel Effertz, Slowbro, seal
Tama Smith, Seaking, camel
Danica Dare, Dugtrio, hyena
Reid Daugherty, Magneton, wolf
Cletus Gerlach, Cloyster, camel
Mr. Arthur Boehm, Rapidash, herring
Roberto Ullrich, Zapdos, otter
Rex Boyle, Omastar, weasel
Freddie Halvorson, Sandslash, zebra
Nestor Spencer, Rhyhorn, yak
Lorie Swaniawski PhD, Scyther, armadillo
Carter Willms II, Spearow, jackal
Miss Dino Fadel, Vaporeon, prairie dog
Tomiko Wiegand, Shellder, duck
Cora Powlowski, Blastoise, gorilla
Albina Schiller, Weezing, gerbil
Nikia Batz I, Machoke, rat
Christopher Goodwin, Kangaskhan, gorilla
Ms. Tula Sawayn, Muk, ant
Clair Pollich, Nidoran, hyena
Frances VonRueden, Ivysaur, lizard
Ms. Austin Heidenreich, Kabuto, fox
Merissa McDermott, Venusaur, eagle
Birdie Upton, Grimer, toad
Emmie Langworth II, Weedle, beetle
Andree Cormier, Squirtle, crab
Velma Orn I, Squirtle, skunk
Gayle Cruickshank, Vulpix, sardine
Brice Reynolds I, Arbok, mole
Tod Smith, Starmie, otter
Iraida Kris, Graveler, kangaroo
Mrs. Margene Dare, Ditto, monkey
Denyse Kuhn, Raichu, marten
Mammie Pfannerstill, Geodude, tiger
Rosario Huels, Victreebel, yak
Ben Braun, Machamp, seal
