Billi Zulauf, Dragonair, sea lion
Hilario Anderson IV, Magikarp, herring
Dr. Shantell Christiansen, Seaking, grasshopper
Mrs. Arnoldo Erdman, Abra, mallard
Robbie Bins, Venomoth, dinosaur
Harlan Mante, Wigglytuff, seal
Aldo Braun, Venomoth, bee
Nickie Powlowski, Dragonair, guinea pig
Cordell Macejkovic, Ekans, fox
Reatha Huel, Ekans, ferret
Stephani Swift Jr., Venonat, sardine
Enriqueta Grant Sr., Primeape, goat
Floyd Rau, Tangela, dog
Zenaida Ankunding, Magmar, frog
Mr. Florence Kunze, Tentacruel, armadillo
Dudley Abshire Sr., Weezing, sheep
Priscila O'Hara, Pidgeot, ox
Ossie Cassin II, Oddish, porcupine
Earle Bayer, Exeggcute, panda
Cari O'Connell, Gloom, macaw
Clark Ziemann, Growlithe, hare
Lu Nitzsche, Geodude, locust
Deneen Wuckert, Dodrio, goat
Mariano Olson, Victreebel, cicada
Dr. Mitchell West, Omanyte, herring
Adele Daugherty, Nidoqueen, hamster
Mrs. Coleman Bechtelar, Mr. Mime, reindeer
Dino Lakin, Venomoth, cicada
Linn Bashirian, Krabby, kangaroo
Jimmie Hand, Aerodactyl, gerbil
Shawnee Dickinson, Mewtwo, wombat
Dr. Izetta Franecki, Pikachu, seal
Damion Ryan, Voltorb, hedgehog
Cathryn Harber, Farfetch'd, hippopotamus
Alec Conn Jr., Fearow, hedgehog
Agnus Runolfsdottir, Dratini, hyena
Tawanda Gulgowski, Kadabra, eel
Kacie Howe, Krabby, chinchilla
Elanor Langosh, Goldeen, cricket
Lilian Daniel, Moltres, bee
Mrs. Royal Smith, Nidoking, seal
Lance Block, Drowzee, swan
Corey Howe, Weezing, mouse
Ms. Conrad King, Jigglypuff, bear
Isabelle Labadie, Pidgeotto, armadillo
Carlton Bergnaum, Nidoking, mallard
Lavinia Kris Jr., Sandshrew, hyena
Latricia Homenick, Rhydon, tortoise
Junita Goldner, Aerodactyl, toad
Mavis Glover, Nidoran, weasel
