Dr. Claris Cummerata, Zapdos, worm
Georgia Lindgren, Hitmonlee, chinchilla
Vickie Hoppe, Haunter, butterfly
Celestina Ferry, Gyarados, moose
Inge Schamberger, Vaporeon, herring
Ms. Mellissa Schneider, Articuno, goose
Claudine Wisoky, Kabutops, fox
Patrina Wintheiser, Diglett, raccoon
Dr. Marcy Strosin, Krabby, seal
Karlene Fahey, Kabuto, wallaby
Lyman Emmerich, Starmie, salmon
Dr. Jeana Bogisich, Staryu, buffalo
Laveta Grimes, Arcanine, salmon
Miquel Okuneva Sr., Golem, wolf
Hans Gislason, Mew, gerbil
Mrs. Gilberte Abshire, Voltorb, giraffe
Domenic Runte, Shellder, snail
Ila Runte, Blastoise, hyena
Miguel Reichert, Nidoran, mole
Ed Wisoky, Raichu, platypus
Clinton Quigley, Venonat, woodchuck
Miss Berna Okuneva, Magneton, macaw
Maurice Wilkinson, Vulpix, weasel
Yong Grant, Farfetch'd, mouse
Todd Witting, Magikarp, yellowjacket
Ceola Bednar, Meowth, tiger
Mrs. Elbert Padberg, Omanyte, moose
Gerry Bashirian, Bulbasaur, platypus
Joesph Braun, Pidgeotto, skunk
Princess MacGyver, Lapras, macaw
Fredric Beier, Victreebel, mouse
Ezekiel Cruickshank, Ditto, pig
Pedro Gislason, Articuno, gnat
Johnathon Mraz, Raticate, dolphin
Marco Langosh, Gengar, antelope
Dr. Eugenia Beer, Vaporeon, scorpion
Ned Jenkins, Bulbasaur, sheep
Miss Sharda Kovacek, Goldeen, duck
Patria Stracke, Bulbasaur, goat
Reginald Cremin, Rhyhorn, lion
Andrea Runte, Ponyta, worm
Kelly Weissnat, Wartortle, lizard
Archie Waters, Poliwag, water buffalo
Mr. Cortez Lesch, Machamp, goldfish
Jeremiah Marquardt, Parasect, weasel
Ronny Gislason V, Clefable, mink
Humberto Mitchell, Kadabra, manatee
Forrest Harber, Sandshrew, cattle
Mavis Maggio Sr., Vulpix, fly
Mr. Dillon Koss, Poliwag, porcupine
