Ms. Maira Grady, Oddish, walrus
Lauran Kohler I, Mr. Mime, mouse
Albert Ortiz I, Wartortle, minnow
Linwood Terry, Muk, llama
Lyman Blick III, Mankey, monkey
Alisia Kub, Omanyte, gorilla
Christina Brown, Doduo, alpaca
Holli Zieme, Poliwag, pig
Miss Zachery Rippin, Beedrill, snake
Lucretia Kuhic, Machop, goldfish
Jestine Crooks DDS, Charmeleon, spider
Shawnee Abernathy, Aerodactyl, reindeer
Hoyt Hoppe, Seaking, swan
Kyra Macejkovic DVM, Poliwrath, hound
Jerald McDermott, Porygon, wildebeest
Verdell O'Hara, Metapod, butterfly
Elease Ondricka, Gloom, wolf
Christian Daniel, Golbat, termite
Armand Goyette IV, Seadra, goat
Rigoberto Hintz, Goldeen, cheetah
Wallace Treutel, Magikarp, squirrel
Ora Smitham I, Zubat, mammoth
Vickey Wunsch, Pidgeotto, platypus
Ms. Vickey Terry, Dragonair, koala
Julieann Marks, Cubone, cat
Cortez Ferry, Nidoran, oyster
Miss Charlotte Boehm, Muk, llama
Moises Adams, Marowak, horse
Tamisha Kub Sr., Kangaskhan, walrus
Twana MacGyver, Aerodactyl, turtle 
Andreas Bogisich, Dewgong, cockroach
Dean Morissette, Wartortle, hornet
Tempie D'Amore, Omanyte, skunk
Chas Dietrich, Tangela, chimpanzee
Mauro Tremblay, Blastoise, panda
Cyrus Kassulke IV, Geodude, tiger
Nannette Beahan, Kingler, bear
Hassan Jast MD, Butterfree, salmon
Lakiesha Legros DDS, Charmander, trout
Mrs. Dortha Kuhic, Drowzee, cattle
Norberto Gibson, Koffing, butterfly
Doretha Huels Sr., Primeape, grasshopper
Ashlyn Zieme, Rattata, hedgehog
Myrta Rau, Scyther, giraffe
Cameron Hilll, Grimer, hyena
Cortez Graham, Staryu, gnu
Flor Hand, Poliwrath, dinosaur
Miss Donny Funk, Paras, serval
Alba Schultz, Poliwag, gnu
Johnie Mills, Exeggcute, otter
