Erinn Osinski, Charmander, hyena
Keenan Moore IV, Magnemite, wombat
Adolph Zboncak, Slowpoke, tortoise
Miss Lynwood Littel, Pidgey, minnow
Miss Starr Runolfsdottir, Raichu, cattle
Lala Heaney, Slowbro, donkey
Miss Zackary Stoltenberg, Wigglytuff, wallaby
Emilie Stokes, Raticate, moose
Jone Von, Sandslash, hound
Osvaldo Ward, Drowzee, gnat
Kerry Osinski, Graveler, water buffalo
Carly Waters, Rhyhorn, salmon
Lavinia DuBuque, Kadabra, tiger
Otelia Collier, Rhydon, armadillo
Oliva Gottlieb, Golem, pug
Lauren Langosh, Horsea, cattle
Bennie Jakubowski, Golbat, mule
Roseline Fisher, Weezing, dolphin
Trey Yundt, Dodrio, rabbit
Leopoldo Mante, Golbat, hamster
Corey Gaylord, Machop, seal
Chi Mitchell, Pidgeotto, cheetah
Claretha Bruen III, Jolteon, alpaca
Maribeth VonRueden, Magmar, swan
Dr. Gricelda Nicolas, Scyther, locust
Gus Daugherty, Weezing, sea lion
Sacha Ratke, Eevee, clam
Roy Weissnat, Vulpix, minnow
Jackie Heller II, Haunter, crow
Jacinto Satterfield, Poliwag, goldfish
Janel O'Hara, Bulbasaur, worm
Robena Morar, Blastoise, cod
Alfonso Dach, Omastar, marten
Frederick Pfannerstill, Dragonite, skunk
Tamisha Bogisich I, Hitmonchan, salmon
Miss Cletus Berge, Tangela, chimpanzee
Chadwick Cremin, Abra, bat
Kori Satterfield, Poliwrath, raven
Peter Quitzon, Rhydon, dolphin
Raphael Doyle, Dugtrio, mule
Harlan Schinner, Scyther, monkey
Ms. Harland Will, Koffing, reindeer
Nery Waelchi, Weepinbell, rat
Nelly Gorczany, Chansey, turtle 
Gregoria Lang, Wigglytuff, lizard
Nicolle Weber DVM, Dodrio, snake
Allan Haag, Electrode, camel
Brice Zemlak, Koffing, elk
Elmo Glover PhD, Slowbro, fish
Britt Hammes, Exeggutor, goldfish
