Romeo Gislason, Diglett, cockroach
Mrs. Emogene Kreiger, Eevee, monkey
Bobby Cummings, Venusaur, alpaca
Lakita Bayer, Bulbasaur, baboon
Kieth O'Kon, Wartortle, jackal
Ernestine Dietrich, Omanyte, cockroach
Lyndsay Bashirian, Parasect, elephant
Terese Schneider, Hitmonlee, manatee
Eun Christiansen, Caterpie, swan
Gertha Pagac, Nidorino, zebra
Parker Wolff, Magneton, hyena
Clarence Spencer, Tauros, donkey
Antone Crooks II, Gengar, chimpanzee
Jolynn Adams, Arbok, manatee
Darrick Gibson, Horsea, eagle
Jordan Mante, Golbat, sardine
Janae Gerlach, Victreebel, goldfish
Mr. Ralph Ernser, Mankey, platypus
Mendy Zemlak, Poliwhirl, cattle
Shane Moen, Weezing, lizard
Ms. Merlyn Torphy, Moltres, caribou
Sharita Sanford II, Venusaur, rhinoceros
Tyrone Collins, Blastoise, gnat
Tamera Ratke, Caterpie, panda
Georgene Mohr, Sandslash, yellowjacket
Mr. Jeraldine Halvorson, Victreebel, spider
Buddy Rowe III, Blastoise, swan
Vivien Kuhic Jr., Bulbasaur, deer
Hyman Effertz I, Ekans, sea lion
Christina Gaylord Jr., Kangaskhan, marten
Sean Legros IV, Omastar, caribou
Gilma Brown, Pidgey, marten
Ms. Roberto Larson, Alakazam, elephant
Quintin Bogisich, Wigglytuff, water buffalo
Sarina Balistreri DVM, Koffing, grasshopper
Mr. Wava Dibbert, Zubat, deer
Mr. Emilio Pagac, Haunter, cicada
Ms. Vernice Nolan, Poliwag, termite
Max Wuckert, Ekans, seal
Brain Halvorson, Vulpix, bear
Dr. Aiko McCullough, Pidgey, ferret
Doria Orn, Articuno, wombat
Rico Padberg, Lapras, armadillo
Dr. Julian Cummings, Butterfree, whale
Tyson Tromp, Koffing, ox
Mrs. Charmain Morar, Aerodactyl, worm
Celesta Schmeler, Raichu, yak
Miss Irvin Bartoletti, Dratini, moose
Russ Larson, Poliwag, cattle
Dr. Ken Sporer, Seaking, fox
