Dr. Boyd Brakus, Charmander, buffalo
Pablo Cruickshank, Grimer, wasp
Khadijah Kilback III, Oddish, gnu
Jerold Sporer, Charmander, leopard
Christel Huels, Hitmonchan, chinchilla
Simona O'Connell, Alakazam, serval
Tameka Mitchell, Bellsprout, elephant
Suzann Raynor, Nidorina, termite
Helaine Dooley, Kingler, raven
Nicholle Marvin, Clefairy, beaver
Ms. Gertha Konopelski, Kingler, serval
Breanne Williamson DVM, Drowzee, antelope
Elenor Zboncak, Doduo, bat
Fletcher Kuphal Jr., Dugtrio, water buffalo
Herb Erdman, Lickitung, yak
Gail Altenwerth, Gloom, locust
Beula Bradtke, Aerodactyl, snail
Sonny Lehner, Vulpix, mosquito
Enrique Herzog, Machoke, water buffalo
Piedad Reynolds, Oddish, crow
Melani Klocko, Starmie, reindeer
Jewel Bernier, Pidgeotto, bee
Margarette Roob, Pidgey, donkey
Arden Flatley, Wigglytuff, eagle
Shaun Mayer, Rhyhorn, mouse
Joslyn Effertz, Ditto, sardine
Charlie Kerluke, Fearow, walrus
Angelo Leffler, Wigglytuff, horse
Lamonica Cassin, Clefairy, salmon
Simone Schinner, Rhydon, crow
Lanell Terry, Magmar, wombat
Andera Price, Rhydon, raven
Ms. Shana Toy, Butterfree, fly
Leonard Kuhn, Zubat, porpoise
Annita Mante, Nidoking, herring
Ryan Wehner, Charmeleon, buffalo
Mammie Pouros, Exeggcute, chimpanzee
Alfredo Effertz II, Charmander, lizard
Edda Stanton, Gengar, muskrat
Galen Weber, Voltorb, antelope
Donte Kunde, Venonat, mouse
Arlen Anderson DVM, Porygon, macaw
Mikaela Johnson, Cubone, hornet
Mr. Reuben Schulist, Jolteon, hare
Hilario Hermann IV, Nidoran, lizard
Mr. Kirby Harber, Farfetch'd, badger
Jamal Nitzsche, Mew, cicada
Marcos Rolfson V, Jigglypuff, mink
Miss Assunta Abshire, Paras, trout
Fermin Kautzer, Magnemite, eagle
