Alec Wilkinson, Poliwhirl, goat
Miss Carlo Haag, Onix, herring
Silas Strosin PhD, Oddish, donkey
Scotty Harber, Ninetales, otter
Shae Reichel, Ivysaur, salmon
Angelia Schinner V, Gastly, ant
Oliver Ledner DVM, Slowpoke, hyena
Dr. Johanna Mante, Parasect, monkey
Ralph Deckow, Dragonite, chimpanzee
Annemarie Turcotte, Moltres, mallard
Delila Roberts, Sandshrew, hornet
Crystal Hand, Kangaskhan, gnat
Miss Philomena Miller, Venonat, dinosaur
Cordell Schulist, Onix, hound
Mr. Lavonda Grady, Rhyhorn, woodchuck
Arnulfo Sporer, Flareon, louse
Ms. Marg Beer, Mewtwo, goat
King Effertz IV, Charizard, swan
Frank Howell, Poliwhirl, armadillo
Noah Schoen DDS, Golbat, yak
Natacha Mohr, Haunter, giraffe
Miss Adam Dach, Porygon, elephant
Marty Leffler, Mewtwo, muskrat
Wendell Jenkins, Magnemite, shark
Albertina Monahan I, Chansey, sea lion
Lucien Schmitt, Goldeen, cockroach
Andrea Goyette, Nidoking, bear
Miss Chantell Bins, Nidoqueen, ant
Paris Quigley, Electrode, weasel
Vannessa Bernier, Haunter, manatee
Eldon Wunsch, Venomoth, wallaby
Roxanne Crist, Magmar, baboon
Ms. Cody Ortiz, Starmie, platypus
Brain Fritsch III, Eevee, eel
Shaquita Dicki, Sandshrew, mole
Willie Ankunding, Bellsprout, cattle
Luci Connelly, Lickitung, wolf
Victor Yundt, Dewgong, marten
Darlene Franecki, Persian, cod
Ronald Marquardt V, Slowbro, wildebeest
Ms. Cornelia Pagac, Sandshrew, mallard
Hyman Halvorson, Haunter, chinchilla
Dr. Norine Bergnaum, Aerodactyl, pig
Javier Considine, Pinsir, manatee
Mendy Dare, Grimer, goldfish
Billy Boyle, Pidgeot, llama
Chasity Hyatt, Clefairy, mallard
Noe Vandervort, Tentacruel, pug
Ron McClure, Articuno, giraffe
Danille Kub I, Rhyhorn, skunk
