Dr. Kasie Marks, Tauros, gnat
Bernardine Corwin, Dewgong, macaw
Ms. Owen McKenzie, Magikarp, woodchuck
Miss Raye McGlynn, Vileplume, gnat
Robby Schneider II, Meowth, marten
Bruce Auer, Venomoth, gerbil
Miss Jeffry Russel, Rapidash, impala
Frederic Feest, Seaking, macaw
Shalanda Herzog, Jigglypuff, gerbil
Luetta Dickens, Seaking, wolf
Howard Legros, Meowth, butterfly
Edwin Braun MD, Pidgey, cat
Frankie Dietrich, Lapras, water buffalo
Brent Hyatt, Wigglytuff, crab
Tamie Schamberger, Ivysaur, wildebeest
Vanda Heidenreich, Rapidash, prairie dog
Dannielle Prohaska, Dodrio, mole
Franklyn Bartell, Arcanine, gorilla
Mrs. Malik Larson, Haunter, manatee
Johnathon Farrell, Machamp, wildebeest
Mrs. Beverly Bauch, Goldeen, clam
Jillian Price, Dodrio, dog
Brenda Crona, Weepinbell, yellowjacket
Raymonde Effertz, Pidgey, raccoon
Myron Trantow, Mew, herring
Ms. Luise Olson, Cubone, hornet
Harley Reichert, Machoke, whale
Terrie Windler, Clefable, bat
Judson Abshire, Voltorb, kangaroo
Maxwell Wisoky PhD, Poliwhirl, wallaby
Frank Conroy, Moltres, chinchilla
Simon Hilll, Nidoran, bat
Alvaro Daugherty I, Muk, clam
Freddie Rath, Scyther, beetle
Jason Schaden, Snorlax, dolphin
Duncan O'Hara III, Magneton, hyena
Miss Rina Trantow, Magikarp, alpaca
Quiana Erdman, Venusaur, gnat
Mrs. Kareem Grant, Mew, cricket
Timmy Shanahan, Flareon, whale
Orlando Schulist, Porygon, alpaca
Earle Hettinger I, Gengar, rat
Juliann Spencer I, Poliwag, manatee
Eduardo Ratke DDS, Ninetales, whale
Ms. Nathanial Krajcik, Rattata, dog
Onie Feest, Magmar, goose
Milo Miller, Sandshrew, mammoth
My Simonis, Marowak, muskrat
Omar Schoen, Graveler, chimpanzee
Cecilia Casper, Machop, hound
