Nadene Streich, Magneton, skunk
Natalia Schowalter, Wigglytuff, mole
Stefan Dibbert, Grimer, chinchilla
Felicidad Green, Beedrill, cod
Bette Treutel, Gastly, raccoon
Enoch Casper, Weezing, cheetah
Thad Haag, Magikarp, impala
Lucia Nolan PhD, Electabuzz, herring
Trena Stracke DDS, Ditto, tiger
Miss Dianne Wiegand, Tangela, bear
Rufus Hayes, Muk, crow
Dr. Freddy Welch, Pikachu, rat
Nada Fadel, Pikachu, reindeer
Shayla Weber, Clefable, pug
Bobbie Bruen, Moltres, squirrel
Tilda Beatty, Vulpix, louse
Thanh Lesch, Clefable, dolphin
Enedina Beier, Magneton, cattle
Lauren Bradtke, Exeggutor, beetle
Danilo Connelly, Raichu, moose
Benedict Stamm Sr., Psyduck, squirrel
Henry Langworth, Meowth, lion
Miss Chi Collins, Omanyte, crocodile
Lynn Ziemann Jr., Drowzee, seal
Susie Bernhard V, Scyther, wildebeest
Tad Grant, Dratini, dog
Toshia Homenick, Tentacool, cod
Leonard Stehr IV, Mankey, gerbil
Jonathan Thompson, Mewtwo, hedgehog
Dr. Halley Glover, Mew, macaw
Marquis Cremin, Farfetch'd, dolphin
Mrs. Amalia Barton, Staryu, kangaroo
Mr. Caleb Hudson, Gengar, chimpanzee
Odis Satterfield, Paras, eagle
Mickey Russel, Mewtwo, platypus
Latina Price, Goldeen, ant
Malik Walsh, Lickitung, water buffalo
Abram Funk, Blastoise, koala
Thad Corkery, Poliwag, manatee
Miss Senaida Marquardt, Goldeen, reindeer
Vera Baumbach, Jynx, badger
Garnett Homenick, Kingler, spider
Kati Yundt, Mew, trout
Shandra Moore DVM, Meowth, hedgehog
Jacquelynn Murray PhD, Omanyte, cod
Noble Mitchell, Arbok, reindeer
Rosanna Shields I, Alakazam, snail
Susanna Glover, Dratini, goose
Corey Rice PhD, Kabutops, mammoth
Johnson Vandervort, Nidoqueen, gnu
