Harry Cartwright, Mankey, clam
Dr. Hung Larson, Electrode, eagle
Ms. Hollis West, Blastoise, hyena
Latonya Schmeler, Meowth, wildebeest
Ms. Rudolph Bailey, Nidoran, gnu
Fausto Toy, Beedrill, rat
Shela Sporer, Lapras, herring
Sudie Greenfelder, Slowpoke, snake
Sam Strosin, Parasect, rat
Gabriel Wintheiser, Sandshrew, weasel
Sandi Armstrong, Jolteon, louse
Tiara Maggio DVM, Vulpix, cheetah
Jarvis Pfeffer, Pidgey, walrus
Columbus Bergstrom, Zapdos, lion
Cierra Brown, Dragonair, wallaby
Malcolm Cronin, Rapidash, reindeer
Stephnie Gleichner II, Haunter, mallard
Tommye Cummerata, Nidorina, mink
Tyson Schowalter, Slowpoke, impala
Mr. Rodrigo Trantow, Flareon, hornet
Gena Padberg, Omanyte, mosquito
Jaye Rath, Pinsir, hornet
Emmitt Little, Kingler, mink
Laticia Yost III, Kakuna, koala
Dagny Ullrich, Chansey, sea lion
Mrs. Demetrius Schinner, Pidgey, snail
Grover Gorczany Sr., Rattata, mink
Oneida Turner, Golem, frog
Ms. Earle Steuber, Scyther, otter
Tamika Boehm, Vileplume, mosquito
Dr. Sharika Lesch, Kadabra, lion
Julietta Windler, Scyther, mosquito
Sherell Zemlak, Raticate, walrus
Shannon Wilderman, Machamp, otter
Werner Kohler, Kingler, cockroach
Pasty Yundt, Pidgeotto, leopard
Stanford McKenzie, Zapdos, walrus
Rolland Hodkiewicz, Staryu, mouse
Bud Schneider DVM, Kabuto, cockroach
Danilo Johnson, Geodude, prairie dog
Tommie Schimmel, Kadabra, crow
Elliott Keebler, Poliwag, louse
Logan Rodriguez DVM, Doduo, badger
Santos Senger, Electabuzz, wombat
Ben Dach, Victreebel, zebra
Nery Streich, Charizard, seal
Florentino Dach DDS, Poliwhirl, beetle
Elvis Rohan, Shellder, hamster
Mabelle Robel, Golduck, raccoon
Dante McLaughlin, Weezing, leopard
