Denny Stoltenberg, Mewtwo, hound
Abraham Huels, Hitmonchan, donkey
Dr. Seth Reinger, Vulpix, coyote
Francine Herzog, Seadra, otter
Laticia Stracke IV, Omanyte, armadillo
Joy Fay, Kadabra, marten
Britt Gottlieb, Caterpie, walrus
Claudio Frami, Slowpoke, raven
Heidi Brekke, Gengar, scorpion
Ronni O'Hara, Kadabra, termite
Betsy Lehner, Charmander, dolphin
Mrs. Eliseo Mante, Tauros, dinosaur
Alonso Connelly, Onix, dinosaur
Romeo Daniel V, Jigglypuff, raccoon
Sherrill Morar V, Dewgong, crow
Mitchel Shanahan, Magmar, wasp
Starla Pagac, Wartortle, horse
Chanell Crist, Weedle, snail
Lissa Kuhlman III, Sandshrew, dolphin
Orval Windler, Farfetch'd, caribou
Barry Hansen, Kakuna, dolphin
Darrell Walker, Sandslash, donkey
Ela Cummings, Ponyta, jackal
Pennie Conroy, Kabuto, termite
Tabatha Hermiston, Beedrill, scorpion
Erwin Schaefer, Growlithe, locust
Izetta Labadie, Shellder, horse
Merlin Collier, Golduck, antelope
Lyda Wilderman, Exeggcute, panda
Miss Mirtha Graham, Parasect, elk
Owen Dickens, Clefairy, pig
Denyse Price, Kadabra, beaver
Miss Elwood Schultz, Meowth, baboon
Ms. Nikole Thompson, Parasect, camel
Sherril Fisher, Hypno, hamster
Eusebia Mayert PhD, Muk, trout
Lauren Smith, Seaking, tiger
Ariel Reynolds V, Bellsprout, giraffe
Dalton Gleason, Persian, muskrat
Elsie Durgan, Weezing, crocodile
Bo Schmitt Jr., Charizard, crab
Zenaida Hessel, Pidgeot, worm
Ms. Jeffry Johnson, Pikachu, walrus
Natalya Kling, Kingler, reindeer
Luna Robel, Machoke, mallard
Ms. Carrol Abernathy, Machoke, crow
Shona Sipes, Diglett, fox
Charlie McKenzie, Graveler, chimpanzee
Leticia Romaguera, Grimer, lizard
Fredrick Predovic, Farfetch'd, fish
