Wesley Swift, Nidoran, minnow
Miss Adolph Douglas, Ponyta, goat
Wilber Turner, Ditto, beetle
Mr. Jerri Jones, Vileplume, fox
Ms. Joe Veum, Exeggcute, walrus
Eloise Gislason V, Seel, ferret
Mrs. Graig Pagac, Haunter, fish
Miki Hodkiewicz III, Horsea, manatee
Franklyn McLaughlin, Meowth, cicada
Christoper McGlynn, Machoke, elephant
Tobie Torp, Wartortle, manatee
Francis Lowe, Dragonite, mule
Jenni Braun Jr., Seadra, otter
Mitsuko Schultz, Rapidash, ape
Jamar Pfeffer, Geodude, leopard
Harley Crooks, Venonat, porpoise
Miss Anthony Runolfsdottir, Blastoise, wasp
Lloyd Emard, Raticate, prairie dog
Ike Wisoky, Abra, ferret
Glenn Kuphal, Tentacool, raven
Dr. Chastity Hegmann, Seel, chimpanzee
Dannie Wehner, Venonat, donkey
Arnold Larson, Pidgeotto, lizard
Kenny Corwin, Ditto, tortoise
Bo Christiansen, Persian, hare
Susan Mraz Sr., Beedrill, antelope
Rae Romaguera, Sandshrew, tortoise
Darrel Nienow V, Rhyhorn, yak
Cary Lebsack, Aerodactyl, otter
Jae O'Hara Sr., Ekans, wombat
Russell Schinner, Geodude, shark
Granville Nitzsche, Kadabra, hound
Dr. Latrina Blanda, Blastoise, sardine
Stanley Kling, Chansey, antelope
Mr. Theresia Windler, Arbok, fish
Mirian Veum, Tentacool, bee
Wally Daniel DVM, Ninetales, water buffalo
Clay McDermott, Abra, ape
Ms. Penni Miller, Rhyhorn, worm
Maria Simonis, Rhyhorn, baboon
Shela Steuber, Pidgey, mouse
Lanell Mann IV, Sandslash, moose
Echo Hansen, Jynx, sheep
Ms. Doyle Lynch, Butterfree, cod
Verlie Sporer, Primeape, pig
Leandro White Sr., Lapras, hedgehog
Ms. Belva Towne, Haunter, porpoise
Miss Efrain Jaskolski, Bulbasaur, spider
Antonio Howell, Charmeleon, sheep
Billy Johnson, Vulpix, butterfly
